"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Acrelândia",272285,69,3779,3554,462,65,1643,73644,17675,NA,1200013,1811.613,14021,7.74,95.1,0.604,14.63,80504656.29,73988898.91,25362.56,"AC"
2,"Assis Brasil",76280,52,2031,4291,557,154,2557,50000,12500,NA,1200054,4979.073,8100,1.63,85.1,0.588,25.53,55106661.66,50460488.74,17507.67,"AC"
3,"Brasiléia",974651,604,18319,50523,5146,1440,14991,765715,85028,NA,1200104,3928.174,26000,6.62,90.2,0.614,29.52,126738422.93,123758677,25278.78,"AC"
4,"Bujari",371291,224,4557,4274,641,124,2890,73387,18347,NA,1200138,3034.869,12917,4.26,91.1,0.589,8.7,53986967.25,46701553.89,28455.38,"AC"
5,"Capixaba",224993,42,3222,4191,502,100,2008,71975,17274,NA,1200179,1705.824,10392,6.09,92.6,0.575,10.99,38527096.68,32360908.28,41722.55,"AC"
6,"Cruzeiro do Sul",143956,852,2728,11530,1443,2383,3008,403189,124724,650,1200203,8783.47,91888,10.46,94.9,0.664,14.6,370660270.54,353078017.6,22934.82,"AC"
7,"Epitaciolândia",182196,133,3376,16512,1651,367,2082,247011,20995,NA,1200252,1652.674,18757,11.35,93.7,0.653,7.19,87724504.71,80051618.82,33960.77,"AC"
8,"Feijó",247854,317,6093,32325,3879,560,11800,157000,37680,NA,1200302,27976.874,35426,1.27,82.9,0.539,22.25,107405484.07,96719649.39,16207.64,"AC"
9,"Jordão",15057,NA,343,1600,221,30,650,17700,5310,NA,1200328,5357.227,9222,1.72,71.3,0.469,34.78,56861737.85,51812536.5,13209.92,"AC"
10,"Mâncio Lima",26288,86,502,2950,410,320,465,74909,17229,650,1200336,5451.617,19294,3.54,94.9,0.625,21.21,86319443.46,85169411.06,13704.87,"AC"
11,"Manoel Urbano",122593,100,2135,3635,473,305,953,38591,9272,NA,1200344,10630.6,11996,1.13,78,0.551,24.79,57975653.77,54296822.25,19060.27,"AC"
12,"Marechal Thaumaturgo",17051,NA,213,2400,270,485,932,48000,11040,NA,1200351,8190.953,17093,2.09,90.8,0.501,8.15,89556541.54,88618165.07,13020.98,"AC"
13,"Plácido de Castro",324487,529,4656,3126,375,225,2734,78859,20318,NA,1200385,1952.555,16560,8.48,93.6,0.622,3.91,78011962.38,76848341.56,29854.1,"AC"
14,"Porto Acre",376336,538,4969,3640,473,397,2977,68637,17159,NA,1200807,2604.417,16693,6.41,90.4,0.576,29.76,71075605.31,66500573.11,24623.3,"AC"
15,"Porto Walter",20266,NA,343,1600,210,758,185,30500,7625,NA,1200393,6446.385,10735,1.67,93.3,0.532,22.56,74267470.53,70608465.62,12845.86,"AC"
16,"Rio Branco",2604191,3025,37996,31820,4109,2512,24130,1041306,359886,8816,1200401,8835.154,364756,41.28,95.1,0.727,14.94,1906891077.11,1877698250,26119.02,"AC"
17,"Rodrigues Alves",29491,38,415,2100,273,177,807,52104,12330,NA,1200427,3076.342,14938,4.86,94.6,0.567,6.23,106180812.2,97129008.43,12933.1,"AC"
18,"Santa Rosa do Purus",12818,4,392,1125,180,44,345,10237,2559,NA,1200435,6155.858,6723,1.09,63.8,0.517,46.3,42737758.19,41917590.09,15747.15,"AC"
19,"Sena Madureira",679906,218,11997,14396,2195,2048,8905,159119,38301,NA,1200500,23759.512,41343,1.74,85.4,0.603,17.04,182768374.35,189516424.6,15860.21,"AC"
20,"Senador Guiomard",395924,1149,5827,3881,466,251,3874,422952,203081,8816,1200450,2320.169,21454,9.25,95.6,0.64,14.53,96251990.78,83841311.73,33253.93,"AC"
21,"Tarauacá",506252,685,11463,51425,6492,840,20967,354700,87990,NA,1200609,20169.485,43467,2.16,85.6,0.539,22.06,168557808.73,142356461.7,16279.09,"AC"
22,"Xapuri",344322,196,6533,8420,1179,464,3217,82574,20643,NA,1200708,5350.586,18243,3.41,87.7,0.599,6.37,70007752.9,63483715.93,22902.48,"AC"
