"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Água Branca",11300,NA,1050,542,196,1500,5845,57000,11500,NA,2700102,468.229,19008,40.6,97,0.549,"23.08",112148272.59,134398903.6,10001.22,"AL"
2,"Anadia",16730,NA,1300,800,60,200,1200,14500,4550,NA,2700201,186.134,13966,75.03,94.4,0.568,"10.87",84245233.8,96537615.23,14306.13,"AL"
3,"Arapiraca",174949,61,15581,43450,3890,10981,47971,1364001,917501,65800,2700300,345.655,234696,678.99,95.9,0.649,"10.62",1025070037.12,1012564524,25248.44,"AL"
4,"Atalaia",33400,NA,1910,2800,230,20,3010,65100,10600,1500,2700409,533.258,37512,70.34,92.5,0.561,"18.62",230590055.4,252969059,31559.62,"AL"
5,"Barra de Santo Antônio",850,NA,19,170,10,NA,116,2500,1000,NA,2700508,131.364,16365,124.58,93.3,0.557,"17.3",97332920.99,108652459.6,16172.16,"AL"
6,"Barra de São Miguel",380,NA,32,40,NA,NA,70,1350,325,NA,2700607,74.247,7944,106.99,96.2,0.615,"6.71",83853905.94,92157690.18,28270.19,"AL"
7,"Batalha",121789,NA,6760,24050,2255,2433,25600,144800,44440,360,2700706,315.87,16448,52.07,95.9,0.594,"11.49",105187164.12,101459717.6,12469.24,"AL"
8,"Belém",7000,NA,238,429,49,70,580,5800,2400,NA,2700805,66.628,4722,70.87,97.5,0.593,"15.87",48524303.78,44210438.16,45271.74,"AL"
9,"Belo Monte",13000,NA,675,1600,170,200,2600,12000,4500,NA,2700904,334.136,5936,17.77,96.3,0.517,"8.4",58630718.82,67191613.27,22537.83,"AL"
10,"Boca da Mata",12735,NA,600,500,45,911,3501,21001,5101,13001,2701001,193.002,21187,109.78,95.3,0.604,"7.41",142375540.57,135146103.9,18448.64,"AL"
11,"Branquinha",9000,500,3000,2500,300,1200,2500,35000,17000,1200,2701100,168.048,9603,57.14,90,0.513,"20.69",80241913.31,95351823.51,74372.69,"AL"
12,"Cacimbinhas",18650,NA,1010,1530,206,1326,6100,21000,8005,NA,2701209,281.692,10482,37.21,96.5,0.531,"13.7",89173428.65,87074538.79,12862.72,"AL"
13,"Cajueiro",8700,NA,601,500,50,15,2001,12000,4010,238,2701308,94.357,16024,169.82,96.2,0.562,"7.04",105746798.33,115593393.2,9714.88,"AL"
14,"Campestre",2900,NA,200,250,21,180,210,4000,1500,NA,2701357,65.91,6665,101.12,95.5,0.559,"10.31",48133969.88,44852664.55,12587.35,"AL"
15,"Campo Alegre",3495,NA,261,800,71,211,306,60001,16501,451,2701407,312.726,32106,102.66,91.1,0.57,"10.16",240404381.63,251030458.9,12667,"AL"
16,"Campo Grande",21100,NA,350,200,25,70,370,12000,4500,NA,2701506,170.144,8143,47.86,96.3,0.524,"13.33",38238182.79,35593480.2,11081.26,"AL"
17,"Canapi",22913,NA,1000,2150,220,1800,10000,40250,7150,NA,2701605,602.778,15559,25.81,97.5,0.506,"24.1",134297153.93,126188296.4,9397.43,"AL"
18,"Capela",19800,NA,640,300,35,20,1920,70000,11500,200,2701704,263.735,15032,57,93,0.573,"10.26",96178316.72,98826349.08,14667.35,"AL"
19,"Carneiros",5800,NA,610,2100,140,540,1650,10000,2500,NA,2701803,111.696,8999,80.57,96.2,0.526,"12.9",58729709.59,71009228.28,9487.37,"AL"
20,"Chã Preta",31000,NA,1050,160,16,15,510,61000,5010,NA,2701902,157.831,5910,37.45,97.6,0.575,"-",50070556.67,50945481.86,24000.91,"AL"
21,"Coité do Nóia",6600,NA,950,1500,200,2000,3900,80000,30000,NA,2702009,88.759,10810,121.79,96.4,0.533,"6.13",71278289.46,70681879.31,19962.67,"AL"
