"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Amapá",25665,98525,2950,4752,375,268,390,8572,949,NA,1600105,8454.847,7943,0.94,95.8,0.642,"10.87","45720959.6",73929175.79,17220,"AP"
2,"Calçoene",3645,8821,143,1570,144,102,91,4132,790,NA,1600204,14117.297,10612,0.75,97,0.643,"22.99","24515855.05",20774437.35,16052.88,"AP"
3,"Cutias",1615,89856,1670,1291,86,112,121,1943,262,NA,1600212,2179.114,4461,2.05,96.9,0.628,"-","-",1,15220.38,"AP"
4,"Ferreira Gomes",615,4915,368,917,77,138,177,3473,380,NA,1600238,4973.855,6666,1.34,96.2,0.656,"20.13","69584697.4",68189172.92,70958.35,"AP"
5,"Itaubal",923,21395,695,1313,118,230,127,2528,316,NA,1600253,1622.867,5599,3.45,94.9,0.576,"7.19","40352296.56",48812132.66,15338.73,"AP"
6,"Laranjal do Jari",3010,1121,42,1503,119,95,105,3080,462,NA,1600279,30782.998,35114,1.14,97.6,0.665,"23.41","174134024.42",225425982.8,21693,"AP"
7,"Macapá",18809,206184,5595,15031,1118,1175,1535,44346,4899,NA,1600303,6563.849,442933,67.48,94.8,0.733,"18.84","1924531819.5",1999477483,24768.62,"AP"
8,"Mazagão",4995,11226,169,5402,371,248,178,12587,1404,NA,1600402,13294.778,21924,1.65,92.9,0.592,"6.19","150073474.75",153910434.2,16812.11,"AP"
9,"Oiapoque",5373,10091,261,2779,276,192,138,8619,1440,NA,1600501,23034.392,27482,1.19,96,0.658,"17.89","100581947.05",110579279,18536.44,"AP"
10,"Pedra Branca do Amapari",924,73,66,1690,126,89,48,5674,408,NA,1600154,9622.29,12847,1.34,92.1,0.626,"17.24","214049999.78",186419675.4,25720.52,"AP"
11,"Porto Grande",5987,1380,152,1590,119,67,64,5387,626,NA,1600535,4428.013,17848,4.03,97.8,0.64,"22.66","100099127.32",141640114.4,16311.17,"AP"
12,"Pracuúba",2887,8722,189,1380,113,NA,47,1814,172,NA,1600550,4948.508,3803,0.77,98.7,0.614,"12.82","40176770.27",32881808.84,15752.05,"AP"
13,"Santana",1175,10719,415,1417,121,182,433,4698,451,NA,1600600,1541.224,107618,69.83,95.9,0.692,"17.59","407030505.97",485692946.3,20132.66,"AP"
14,"Serra do Navio",467,38,25,549,64,49,25,1817,203,NA,1600055,7713.046,4673,0.61,98.4,0.709,"32.79","35539983.12",37321869.71,16524.09,"AP"
15,"Tartarugalzinho",9878,54038,2175,1695,190,132,251,4497,427,NA,1600709,6684.705,12945,1.94,94.3,0.592,"21.05","133909492.31",97951248.93,14378.77,"AP"
16,"Vitória do Jari",1077,5490,49,1302,91,32,NA,2637,290,NA,1600808,2508.979,11291,4.5,97.1,0.619,"9.71","97905119.56",104848927.5,14296.72,"AP"
