"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Alvarães",411,36,10,197,45,NA,50,1491,1392,NA,1300029,5923.461,15866,2.68,75.3,0.527,"18.18",126092009.24,120203719.4,13255.22,"AM"
2,"Amaturá",902,NA,17,200,35,NA,210,7500,7300,NA,1300060,4754.109,10819,2.28,86.3,0.56,"19.31",67775575.93,61081705.27,9960.76,"AM"
3,"Anamã",400,NA,6,125,50,NA,10,2500,1500,NA,1300086,2446.121,9962,4.07,93.6,0.594,"16.67",70502744.3,67132685.85,9697.69,"AM"
4,"Anori",714,12,44,130,15,NA,57,5000,4800,NA,1300102,6036.38,17194,2.85,84.9,0.561,"8.4",104265369.45,91195024.71,11324.94,"AM"
5,"Apuí",293064,200,3850,5975,970,1225,3500,89000,55000,1050,1300144,54240.545,20647,0.38,93.4,0.637,"14.76",97176804.46,88420595.83,13096.89,"AM"
6,"Atalaia do Norte",34,NA,NA,35,6,NA,8,11000,5000,NA,1300201,76507.617,15314,0.2,65.5,0.45,"21.39",100213161.44,92454763.52,8862.72,"AM"
7,"Autazes",48231,48842,768,2818,615,1006,1066,14000,9167,NA,1300300,7652.852,41564,5.43,94.6,0.577,"21.03",246188080.9,183475186.9,12348.26,"AM"
8,"Barcelos",47,NA,1,55,NA,NA,NA,5189,2640,NA,1300409,122461.086,18834,0.15,64.7,0.5,"17.95",104151475.62,92145921.82,8844.22,"AM"
9,"Barreirinha",22034,8759,1109,860,217,560,2000,62434,28000,NA,1300508,5751.765,31051,5.4,97.5,0.574,"9.82",172600903.88,161670844.6,10476.91,"AM"
10,"Benjamin Constant",512,NA,NA,67,20,30,86,15000,12000,1100,1300607,8705.441,37648,4.32,89.6,0.574,"21.9",213308092.27,197733326,8664.03,"AM"
11,"Beruri",1287,180,16,280,84,8,12,3040,2432,NA,1300631,17472.779,20718,1.19,90.4,0.506,"19.72",113897313.08,106532016.7,10333.67,"AM"
12,"Boa Vista do Ramos",12654,1997,377,733,142,211,297,12459,7000,NA,1300680,2589.407,23785,9.19,95.9,0.565,"7.27",104183199.34,102810974.3,9102.4,"AM"
13,"Boca do Acre",485800,292,7532,5466,802,1116,4676,29700,17800,NA,1300706,21938.583,35447,1.62,88,0.588,"13.29",141575307.83,124720386,14668.9,"AM"
14,"Borba",4074,8142,133,919,300,99,401,20084,10000,4500,1300805,44236.184,33080,0.75,91.2,0.56,"14.61",164038096.33,140540795.2,9500.35,"AM"
15,"Caapiranga",1810,49,37,161,37,5,47,835,400,NA,1300839,9455.539,13469,1.42,89.4,0.569,"13.82",92762308.12,87497718.28,13194.94,"AM"
16,"Canutama",71370,41,1224,1498,519,1100,896,23810,22964,NA,1300904,33642.732,16869,0.5,87.6,0.53,"17.14",84482895.91,76310617.86,9656.23,"AM"
17,"Carauari",4967,NA,32,241,66,27,101,17200,15642,NA,1301001,25778.658,28742,1.11,90.2,0.549,"13.91",151467139.31,122607610.5,12906.32,"AM"
18,"Careiro",14000,999,457,766,158,179,660,79186,62100,NA,1301100,6096.212,30792,5.05,88.6,0.557,"14.6",252444615.3,241276087.1,10180.17,"AM"
