"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abaíra",1936,NA,60,425,58,230,476,15961,4469,NA,2900108,538.677,7301,13.55,97.2,0.603,"18.52",32237641.59,35111367.37,8086.04,"BA"
2,"Abaré",6161,NA,614,2216,311,116677,98337,8350,2470,NA,2900207,1604.923,17639,10.99,96.5,0.575,"7.17",87563602.75,79977884.76,10127.1,"BA"
3,"Acajutiba",12753,NA,554,625,110,453,1101,2650,1015,NA,2900306,181.475,13795,76.02,98,0.582,"12.82",83405745.46,79390929.67,9499.76,"BA"
4,"Adustina",23237,NA,638,1915,191,3102,24935,45900,32600,NA,2900355,629.099,14201,22.57,98.1,0.546,"20.55",78434504.29,73643969.42,13986.28,"BA"
5,"Água Fria",11255,7,1105,1125,115,312,4570,1605846,164361,326,2900405,742.775,14497,19.52,97,0.55,"13.79",73397340.01,88594859.92,9269.33,"BA"
6,"Aiquara",15264,161,308,180,23,15,80,7150,2700,NA,2900603,167.877,4447,26.49,98.4,0.583,"-",45623931.03,43534669.81,12244.83,"BA"
7,"Alagoinhas",229033,801,12376,10798,1554,4052,26847,1396110,147733,800,2900702,707.835,151055,213.4,97.4,0.683,"12.79",664260801.24,631717683.9,29621.32,"BA"
8,"Alcobaça",48553,136,1574,793,164,77,507,19500,4218,NA,2900801,1477.929,24530,16.6,96.5,0.608,"15.38",135266438.23,142880890,15437.27,"BA"
9,"Almadina",14872,4,451,150,25,132,112,3175,826,NA,2900900,245.236,5218,21.28,95.3,0.563,"23.26",32229647.81,29587006.69,11924.08,"BA"
10,"Amargosa",36361,6,1159,8497,1646,637,1335,23678,6630,NA,2901007,431.655,36521,84.61,96.8,0.625,"16.13",190276474.67,168053576.8,12327.08,"BA"
11,"Amélia Rodrigues",9696,131,332,656,93,27,410,86450,865,1065,2901106,166.872,24138,144.65,99.2,0.666,"6.1",108377590.27,102966520.8,17505.45,"BA"
