"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abdon Batista",15342,NA,70,19760,350,62,135,6500,5600,NA,4200051,237.517,2598,10.94,"100","0.694","-",37360629.58,33455634.15,29646.51,"SC"
2,"Abelardo Luz",35564,24,516,14095,4219,840,5419,1546335,40143,4400,4200101,953.992,17392,18.23,"97.1","0.696","15.38",126960250.1,114596565.8,43621.44,"SC"
3,"Agrolândia",10018,2,226,13850,1200,115,515,14000,6000,109000,4200200,206.815,10990,53.14,"97","0.725","6.99",75407455.69,65713134.58,35492.31,"SC"
4,"Agronômica",5170,20,119,10800,420,12,126,190000,6000,20000,4200309,129.774,6055,46.66,"94.4","0.741","-",40712941.73,36789927.59,41807.92,"SC"
5,"Água Doce",64500,NA,2150,96200,10050,550,14100,1620000,2980,NA,4200408,1319.137,6508,4.93,"97.9","0.698","11.63",78707884.67,68519678.72,90930.69,"SC"
6,"Águas de Chapecó",15340,NA,101,33909,1746,58,556,2740546,360006,821,4200507,139.511,6036,43.27,"99.3","0.713","-",43518693.63,39012794.81,21040.34,"SC"
7,"Águas Frias",12072,19,106,94156,6258,70,726,122316,25010,NA,4200556,76.631,2839,37.05,"100","0.745","-",34586347.27,31272965.1,69655.52,"SC"
8,"Águas Mornas",7594,NA,37,246,NA,13,31,160000,1324,173,4200606,326.66,6743,20.64,"98.7","0.723","24.39",48790610.58,44444660,30026.7,"SC"
9,"Alfredo Wagner",27989,10,532,1981,29,106,881,165000,12300,NA,4200705,733.489,10481,14.29,"92.8","0.668","-",252430855.26,232270080.8,33191.8,"SC"
10,"Alto Bela Vista",10309,NA,100,32300,1480,50,200,412500,2000,NA,4200754,103.433,1856,17.94,"98.7","0.755","-",36837298.3,26883204.42,41248.18,"SC"
11,"Anchieta",35565,NA,239,10421,1400,223,1358,106266,11600,219,4200804,232.348,5943,25.58,"99.8","0.699","-",43389354.52,38992786.85,37207.3,"SC"
12,"Angelina",15664,53,88,2031,4,43,365,59561,6227,166,4200903,499.998,5358,10.72,"99.3","0.687","-",42220708.61,36484735.02,37247.98,"SC"
13,"Anita Garibaldi",36100,4,950,3880,870,225,3400,62000,26000,280,4201000,589.812,8285,14.05,"96.1","0.688","29.41",57012868.17,49405142.83,34127.28,"SC"
14,"Anitápolis",10601,1,110,542,10,56,498,549099,4728,NA,4201109,540.636,3593,6.65,"98.5","0.674","-",34531643.69,29295976.23,26235.15,"SC"
15,"Antônio Carlos",7014,12,96,199,NA,82,90,532500,4000,1875,4201208,234.422,11224,47.88,"96.5","0.749","-",87846722.58,72863267.52,91422.34,"SC"
16,"Apiúna",7691,85,255,4692,134,41,645,282054,22497,394,4201257,493.49,9811,19.88,"97.8","0.708","14.39",77950766.3,70543905.63,40398.52,"SC"
17,"Arabutã",14200,45,95,128700,6200,165,590,2250300,57000,NA,4201273,132.779,4378,32.97,"99.6","0.733","-",49312095.06,44938547.02,66635.06,"SC"
18,"Araquari",11751,218,383,762,15,71,552,670000,545000,973,4201307,386.693,45283,117.1,"96","0.703","6.58",404850702.12,348658109.2,183116.55,"SC"
