"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abadia de Goiás",16350,4,345,1250,125,40,155,70000,3100,NA,5200050,143.357,19128,133.43,97.2,0.708,"7.63",83624420.93,78679879.19,38622,"GO"
2,"Abadiânia",52793,17,1882,6056,1200,145,588,1080000,435000,NA,5200100,1044.555,17232,16.5,94.3,0.689,"-",92098618.68,84083240.17,21334.94,"GO"
3,"Acreúna",66742,625,2536,21356,1687,521,537,21577,3800,NA,5200134,1566.742,21568,13.77,97.1,0.686,"25.32",136048865.44,128249974.7,46315.9,"GO"
4,"Adelândia",19060,9,290,985,96,14,5,4300,1735,NA,5200159,115.385,2297,19.91,100,0.702,"-",23591346.41,20844838.31,19400.94,"GO"
5,"Água Fria de Goiás",52141,9,2153,2592,439,244,1122,143000,79300,NA,5200175,2023.636,4954,2.45,97.4,0.671,"38.46",36749811.58,46544860.28,91260.12,"GO"
6,"Água Limpa",59800,117,815,850,121,66,NA,15500,2090,NA,5200209,458.836,1858,4.05,97.4,0.722,"-",28714371.5,24601249.76,35293.9,"GO"
7,"Águas Lindas de Goiás",1857,44,210,124,31,75,68,73832,64574,NA,5200258,191.817,225693,1176.61,96.6,0.686,"10.88",582401590.5,580827941.3,11052.96,"GO"
8,"Alexânia",46722,112,1716,9395,1723,178,483,1308500,440750,NA,5200308,846.876,27008,31.89,97,0.682,"17.46",176447139.09,162542051.4,39776.23,"GO"
9,"Aloândia",19000,37,240,580,145,23,200,3400,1260,NA,5200506,102.094,1973,19.33,98.1,0.697,"-",23470375.43,25092901.63,32251.19,"GO"
10,"Alto Horizonte",47310,NA,680,1400,230,70,NA,10000,4000,NA,5200555,500.342,6072,12.14,97,0.719,"19.8",164304913.71,158009519.3,188378.9,"GO"
11,"Alto Paraíso de Goiás",27136,74,1495,452,98,122,277,14754,1840,NA,5200605,2594.998,10306,3.97,98,0.713,"12.74",64187711.33,59566748.56,38319.04,"GO"
12,"Alvorada do Norte",74310,NA,2544,1366,272,240,840,11546,4618,NA,5200803,1268.347,8446,6.66,98,0.66,"9.62",46831208.16,48089854.87,19317.45,"GO"
13,"Amaralina",137000,NA,1370,2800,440,65,190,24000,9250,NA,5200829,1343.742,3268,2.43,92.2,0.609,"-",31975486.22,28939881.15,28148.86,"GO"
14,"Americano do Brasil",29612,NA,535,1450,300,75,85,350000,3700,NA,5200852,133.834,5259,39.29,97.4,0.7,"-",30228940.79,26599319.16,14694.5,"GO"
15,"Amorinópolis",52274,19,691,4814,455,6,6,12200,4500,NA,5200902,406.93,3007,7.39,98.4,0.681,"-",22732581.35,26160647.98,39489.53,"GO"
16,"Anápolis",1047525,1345,22072,49283,9458,1455,3706,27835643,3622742,91479,5201108,935.672,398869,426.29,96.3,0.737,"15.03",2082795834.96,2054801261,44860.34,"GO"
17,"Anhanguera",5100,NA,57,60,15,NA,NA,380,160,NA,5201207,55.569,924,16.63,100,0.725,"-",24408435.54,20127359.86,18523.83,"GO"
18,"Anicuns",820379,1035,14815,38362,7479,818,2021,2669320,87985,NA,5201306,976.038,18503,18.96,98.4,0.714,"13.64",92897283.29,92872586.56,23178.92,"GO"
19,"Aparecida de Goiânia",10200,30,250,1600,330,NA,70,125000,1e+05,NA,5201405,279.954,527796,1885.3,95.3,0.718,"15.4",2105755070.81,2180954477,28213.26,"GO"
20,"Aparecida do Rio Doce",61500,15,420,46000,2820,17,220,750000,2850,NA,5201454,603.254,2907,4.82,93.3,0.693,"-",41546934.18,37154294.33,44491.53,"GO"
21,"Aporé",189500,NA,1950,1550,420,75,1950,17500,4300,NA,5201504,2899.237,4325,1.49,99.1,0.693,"14.08",55802058.61,50352391.7,92759.84,"GO"
22,"Araçu",22600,NA,500,130,68,25,50,9300,2250,NA,5201603,149.776,3799,25.36,99,0.693,"-",33087648.16,28369026.28,21303.17,"GO"
23,"Aragarças",844887,741,12308,19550,2425,558,2421,120900,43500,NA,5201702,661.677,18390,27.79,98.3,0.732,"25.38",85652499.68,73976539.57,13606.58,"GO"
24,"Aragoiânia",30000,60,530,3500,860,NA,210,54000,38400,NA,5201801,218.125,11890,54.51,98,0.684,"14.93",59274606.05,58633280.79,16321.67,"GO"
25,"Araguapaz",203023,66,3000,7800,1280,180,500,30700,11640,NA,5202155,2188.1,7153,3.27,97.8,0.674,"44.44",39321733.78,38321606.41,23107.53,"GO"
26,"Arenópolis",116302,220,1431,2800,300,98,262,11000,4600,NA,5202353,1075.535,2946,2.74,100,0.687,"-",33637425.65,30872696.48,90406.19,"GO"
