"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Açailândia",434734,390,7673,11054,2763,2514,10567,61854,21340,NA,2100055,5805.159,106550,18.35,97.7,0.672,"15.29",542919732.04,515857471.1,33649.84,"MA"
2,"Afonso Cunha",1410,NA,95,1640,150,650,98,3960,1250,NA,2100105,371.338,6144,16.55,96.6,0.529,"9.01",58588415.9,51695385.33,12828.8,"MA"
3,"Água Doce do Maranhão",1745,NA,460,921,209,1201,888,44400,25700,NA,2100154,442.292,12142,27.45,98.3,0.5,"12.42",62265245.26,58115290.36,7986.15,"MA"
4,"Alcântara",4355,131,62,6106,779,219,455,27710,3561,NA,2100204,1167.964,18467,15.81,96.8,0.573,"34.88",75533677.59,78778731.4,6725,"MA"
5,"Aldeias Altas",6620,NA,275,3700,580,2290,260,21560,2090,NA,2100303,1942.121,23286,11.99,94.9,0.513,"5.52",139830910.77,136552696.4,9246.08,"MA"
6,"Altamira do Maranhão",46092,NA,628,850,210,1005,1235,6900,2690,NA,2100402,524.374,6447,12.29,91.5,0.549,"17.86",42596945.86,41109286.06,8669.76,"MA"
7,"Alto Alegre do Maranhão",17498,NA,919,2930,540,864,1114,19840,5700,NA,2100436,392.75,24048,61.23,95.5,0.554,"17.95",98637518.21,96440480.25,10801.55,"MA"
8,"Alto Alegre do Pindaré",89463,147,2698,1089,488,843,982,9658,1635,NA,2100477,1875.901,25710,13.71,96.7,0.558,"10.66",172801155.26,177404029.2,7876.42,"MA"
9,"Alto Parnaíba",55386,30,4623,1887,368,397,1173,59120,14230,NA,2100501,11127.384,11109,1,95.1,0.633,"11.9",63711620.5,58156405.19,51543.79,"MA"
10,"Amapá do Maranhão",13025,NA,450,550,85,741,259,6395,1450,NA,2100550,502.402,7170,14.27,98,0.52,"11.24",52254801.99,45328038.72,9963.57,"MA"
11,"Amarante do Maranhão",364086,75,7085,11940,1735,2885,9295,109340,25799,NA,2100600,7439.615,37085,4.98,95.1,0.555,"12.71",159172886.84,154604643.2,9250.86,"MA"
12,"Anajatuba",53038,1586,1954,28582,3728,1523,480,55882,19447,NA,2100709,940.489,25322,26.92,96.1,0.581,"28.78",135810561.47,124737653.2,7642.36,"MA"
13,"Anapurus",1751,NA,65,2550,480,2900,240,11100,2700,NA,2100808,608.903,13793,22.65,98,0.581,"17.39",85109726.78,77849453.7,9289.48,"MA"
14,"Apicum-Açu",2222,14,41,1272,202,42,40,2789,1666,NA,2100832,341.12,17519,51.36,96.8,0.568,"12.35",77249892.17,75144965.12,7620.23,"MA"
15,"Araguanã",28466,198,421,617,185,122,221,4516,900,NA,2100873,805.194,11181,13.89,96.3,0.533,"6.94",75837510.47,75018430.61,6491.48,"MA"
