"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Acorizal",59363,14,1491,1140,102,19,808,28302,13302,4,5100102,850.763,5014,5.89,96.6,0.628,"-",46109959.57,44171408.23,20561.61,"MT"
2,"Água Boa",340330,9,5131,4087,640,137,3735,80600,24184,16,5100201,7549.308,29219,3.87,99.2,0.729,"26.49",286870969.12,270313137.9,74990.39,"MT"
3,"Alta Floresta",2863984,1048,28573,12891,900,1288,14732,125496,70749,69,5100250,8955.41,58613,6.54,98,0.714,"8.45",331802521.4,306044984.3,40531.28,"MT"
4,"Alto Araguaia",283318,108,5097,10786,3149,49,4701,74163,33758,69,5100300,5402.308,17193,3.18,96.7,0.704,"20.94",163057941.02,162126264.8,59497.11,"MT"
5,"Alto Boa Vista",53872,29,751,550,61,117,596,5547,5173,NA,5100359,2248.414,5715,2.54,96.8,0.651,"55.56",50879572.41,44407392.6,37231.59,"MT"
6,"Alto Garças",94184,NA,1352,1230,420,29,1898,13990,9966,NA,5100409,3858.153,13052,3.38,98,0.701,"-",97783547.03,108324874,97187.86,"MT"
7,"Alto Paraguai",484829,95,6495,5395,1024,400,4734,1455292,215076,42,5100508,1847.354,8009,4.34,95.4,0.638,"10.87",57816632.9,66780777.78,14382.3,"MT"
8,"Alto Taquari",12560,NA,522,2093,278,NA,604,8879,7209,NA,5100607,1436.582,10904,7.59,98.3,0.705,"18.29",115483923.1,103869044.3,113538.74,"MT"
9,"Apiacás",335275,41,3493,1238,89,301,1569,1167,534,NA,5100805,20489.024,8590,0.42,95,0.675,"32.05",79415069.58,85139293.57,22418.58,"MT"
10,"Araguaiana",316356,93,2567,1965,91,487,2767,19350,7770,NA,5101001,6380.7,3795,0.59,98.3,0.687,"-",50254623.37,43975761.93,41316.47,"MT"
11,"Araguainha",28573,47,469,991,484,9,163,4027,3734,NA,5101209,675.231,1010,1.5,98.1,0.701,"-",31631280.27,25846616.59,30845.7,"MT"
12,"Araputanga",253436,65,3026,2317,640,31,2067,29800,19338,1,5101258,1639.733,14786,9.02,97.5,0.725,"9.66",100153408.42,95957375.77,38361.43,"MT"
13,"Arenápolis",33352,NA,826,615,141,83,394,156318,825,NA,5101308,417.337,10576,25.34,98.4,0.704,"17.86",68885715.68,59437002.79,24711.43,"MT"
14,"Aripuanã",4309253,1054,45192,29966,7983,2557,25726,477797,232417,658,5101407,24678.135,24626,1,92.7,0.675,"9.83",210542632.57,207391907.7,62691.39,"MT"
15,"Barão de Melgaço",222413,169,4663,1476,82,38,416,30402,12169,NA,5101605,11374.872,7253,0.64,86.3,0.6,"-",43253891.61,43859262.23,15262.65,"MT"
16,"Barra do Bugres",311647,341,2923,1817,407,324,3266,34151,19950,NA,5101704,5976.864,29403,4.92,96.9,0.693,"11.76",211450706.49,189499332.3,44018.43,"MT"
17,"Barra do Garças",410058,242,4905,8727,790,428,3900,41831,17617,NA,5101803,8363.149,69210,8.28,96.3,0.748,"16.02",385068345.89,379410120.7,41607.18,"MT"
18,"Bom Jesus do Araguaia",195517,109,2031,8613,780,64,1906,73160,9398,NA,5101852,4266.636,7280,1.71,97.2,0.661,"49.5",73000974.39,60239841.73,112613.63,"MT"
19,"Brasnorte",515136,214,4997,4659,804,149,6453,45604,39094,15,5101902,15968.355,17004,1.06,96,0.696,"18.24",166768706.69,155808599,101462.2,"MT"
20,"Cáceres",1399931,1292,20411,11575,2050,910,14739,120400,76277,49,5102504,24495.51,89681,3.66,97.8,0.708,"15.68",403645190.62,438136155.5,23753.91,"MT"
21,"Campinápolis",259185,19,3168,4151,165,62,1523,20496,9776,84,5102603,5978.985,15347,2.57,81.9,0.538,"64.67",112456530.55,101336083.3,26958.25,"MT"
22,"Campo Novo do Parecis",164349,NA,1633,1875,319,16,4453,28721,10615,12,5102637,9428.586,45899,4.87,97.8,0.734,"12.32",411890796.87,384363070.2,187188.91,"MT"
23,"Campo Verde",137084,44,2258,29397,2500,129,5862,2491000,1945000,155000,5102678,4770.631,44585,9.35,98.1,0.75,"-",405301480.93,364830081.6,113394.08,"MT"
24,"Campos de Júlio",110176,22,739,1917,297,27,2059,6801,5667,NA,5102686,6792.808,8822,1.3,97.9,0.744,"38.96",124625553.77,108035274.5,455838.1,"MT"
25,"Canabrava do Norte",150823,130,2255,4344,610,50,1507,16088,6240,NA,5102694,3449.037,4485,1.3,98.1,0.667,"21.74",52035316.29,43259632.62,56716.7,"MT"
26,"Canarana",1737187,151,20803,28893,3270,917,17956,443341,283370,400,5102702,10855.181,25858,2.38,94.3,0.693,"21.41",252104177.39,230911227.1,132641.17,"MT"
27,"Carlinda",209045,25,2917,1462,169,174,1550,19070,9535,NA,5102793,2421.788,10332,4.27,98.7,0.665,"21.74",67579418.47,60082954.07,29658.71,"MT"
28,"Castanheira",464222,83,4186,2688,718,85,2250,43292,30728,NA,5102850,3713.466,7506,2.02,96.8,0.665,"21.98",55167624.34,51857055.86,24494.82,"MT"
29,"Chapada dos Guimarães",156957,19,4981,4649,102,408,4506,62352,31989,18,5103007,6603.252,18990,2.88,95.7,0.688,"12.3",158906198.05,157563504.6,53931.12,"MT"
30,"Cláudia",50799,57,745,2671,450,187,3767,21547,6853,NA,5103056,3843.561,9593,2.5,97.5,0.699,"6.76",96802510.25,88496231.21,86593.96,"MT"
31,"Cocalinho",485903,286,3517,4277,365,247,3767,22560,8865,3,5103106,16563.136,6220,0.38,90.4,0.66,"-",69071754.69,67716949.93,52079.24,"MT"
32,"Colíder",2607785,911,29503,34110,5154,1803,20261,252180,118722,126,5103205,3112.091,31370,10.08,97.2,0.713,"11.54",170040850.63,166793801.5,37495.61,"MT"
33,"Colniza",863182,179,8654,6082,2257,743,2515,156733,51410,119,5103254,27960.237,25766,0.92,95.4,0.611,"23.47",169596421.43,153450169.8,20651.18,"MT"
34,"Comodoro",324305,172,4793,6457,1387,345,3958,47824,39854,NA,5103304,21485.018,18238,0.85,96.1,0.689,"20.77",152338537.98,131515038.5,59213.23,"MT"
35,"Confresa",399624,220,8918,10411,4120,406,4354,60582,23000,NA,5103353,5802.314,35075,6.05,97.2,0.668,"12.35",213446449.17,195365630.7,47721.27,"MT"
36,"Conquista D'Oeste",79169,42,1107,1420,215,19,903,9255,7713,NA,5103361,2684.676,3760,1.4,98.6,0.718,"16.39",52756080.87,49828444.34,34399.39,"MT"
37,"Cotriguaçu",456770,41,6547,5054,810,359,2595,74705,42814,NA,5103379,9469.957,11011,1.16,87.9,0.601,"5.85",78489751.93,74031258.49,15773.04,"MT"
38,"Cuiabá",1151361,1917,27145,30958,1939,2083,21664,227224,74681,448,5103403,4327.448,650877,150.41,95.8,0.785,"13.63",4206842583.08,4233324461,47700.88,"MT"
39,"Curvelândia",65354,NA,747,1937,208,39,919,12600,10972,28,5103437,357.128,4903,13.73,99.7,0.69,"17.54",38599940.89,32607809.17,23513.3,"MT"
40,"Denise",69644,10,1211,979,263,10,1151,12313,7779,NA,5103452,1273.178,7014,5.51,97.6,0.683,"23.81",57762312.45,46863132.47,55018.49,"MT"
41,"Diamantino",122583,NA,2642,156618,11655,356,3349,1206000,562000,51,5103502,8263.397,21941,2.66,98.1,0.718,"5.45",246538982.25,227713278.2,257582.45,"MT"
42,"Dom Aquino",131933,32,2368,2287,40,73,1303,18092,4030,64,5103601,2183.603,7872,3.61,99.2,0.69,"-",62576172.15,61998933.91,83260.65,"MT"
43,"Feliz Natal",38168,14,549,1771,200,40,2205,12474,7023,35,5103700,11661.514,10521,0.9,96.6,0.692,"5.26",105712066.49,94896432.93,70377.74,"MT"
44,"Figueirópolis D'Oeste",173970,NA,1701,2497,390,56,1979,11965,9971,NA,5103809,891.448,3187,3.58,98.3,0.679,"-",41786973.76,35180039.19,24516.56,"MT"
45,"Gaúcha do Norte",206381,7,2459,3749,331,188,5135,32570,17950,40,5103858,16908.375,8642,0.51,81.5,0.615,"10.99",106542623.3,83646109.96,163138.13,"MT"
46,"General Carneiro",101299,11,1938,3097,294,140,1904,26058,11042,100,5103908,4514.917,6037,1.34,97.2,0.67,"25.64",54628367.94,47755257.08,84131.44,"MT"
47,"Glória D'Oeste",119729,84,1372,1493,394,19,1381,12970,9307,4,5103957,833.13,2905,3.49,98,0.71,"-",44728146.22,34131456.83,29844.05,"MT"
48,"Guarantã do Norte",347789,103,4856,6759,1210,313,3678,50345,15181,67,5104104,4725.281,31024,6.57,97.8,0.703,"14.29",227032425.68,219530852.1,30166.45,"MT"
49,"Guiratinga",165818,24,3003,2270,150,79,1579,18166,7200,NA,5104203,5043.899,10966,2.17,99.2,0.705,"-",80330886.71,77976912.39,46198.67,"MT"
50,"Indiavaí",103516,7,911,856,98,9,1029,5800,4755,NA,5104500,592.495,2213,3.74,95.4,0.661,"-",36722065.32,36308703.69,36921.25,"MT"
51,"Ipiranga do Norte",21090,2,254,70476,10138,158,2562,22088,7838,189,5104526,3422.016,7815,2.28,99.3,0.727,"7.63",115045450.61,89051358.71,235258.71,"MT"
52,"Itanhangá",60539,58,1114,1767,25,381,2284,16843,4280,32,5104542,2909.745,7539,2.59,97.1,0.71,"24.39",58289442.73,54685158.31,102626.15,"MT"
53,"Itaúba",75200,8,664,1100,258,42,1194,9745,6190,NA,5104559,4521.79,5020,1.11,98.3,0.69,"12.35",64655642.36,56113687.3,116106.91,"MT"
54,"Itiquira",390608,14,4215,53952,4218,255,3565,12863,8165,10,5104609,8698.814,12236,1.41,96.6,0.693,"13.51",163042645.3,141407058.5,156247.05,"MT"
55,"Jaciara",107153,103,1634,2714,272,77,1833,10507,8000,NA,5104807,2429.678,28569,11.76,98.2,0.735,"2.43",187125107.85,164068727.3,43250.68,"MT"
56,"Jangada",56571,141,1454,3048,442,178,1070,20405,6400,14,5104906,1114.302,7426,6.66,96.1,0.63,"-",69900645.81,38322532.78,22421.04,"MT"
57,"Jauru",2536517,798,29014,27007,4008,938,27270,314100,228071,81,5105002,1345.411,8367,6.22,97.7,0.673,"-",57597161.23,60341574.45,41639.89,"MT"
58,"Juara",963851,513,9083,11225,3089,504,7578,59870,25710,NA,5105101,22632.713,34906,1.54,96,0.682,"12.54",215065591.59,205962500.4,38713.76,"MT"
