"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Água Clara",438072,113,5642,500,48,177,5038,292040,214816,NA,5000203,7781.558,16741,2.15,"96.6","0.67","10.34",182764403.87,174593930.1,77081.38,"MS"
2,"Alcinópolis",323313,104,4085,2025,518,33,3501,30460,8438,NA,5000252,4397.518,4537,1.03,"98","0.711","-",87632017.08,76143832.23,43312.1,"MS"
3,"Amambai",264386,194,5694,6755,2211,278,7906,246723,15447,NA,5000609,4193.742,39325,9.38,"93.2","0.673","13.47",269264624.05,276279202.8,43884.18,"MS"
4,"Anastácio",251825,406,3806,817,116,228,3297,34620,15120,NA,5000708,2913.177,24114,8.28,"98.4","0.663","10.44",131028533.23,119993593.7,27508.95,"MS"
5,"Anaurilândia",227106,11,3628,1413,383,123,3914,15179,4444,NA,5000807,3415.657,7653,2.24,"98.9","0.67","13.51",75612172.07,88724948.01,45726.31,"MS"
6,"Angélica",51554,NA,1489,579,126,39,1204,67809,4892,NA,5000856,1283.627,10729,8.36,"98.2","0.697","14.39",80541295.08,74678416.76,106924.28,"MS"
7,"Antônio João",34365,NA,1359,1150,340,55,2343,21752,7518,NA,5000906,1142.895,9303,8.14,"96.9","0.643","33.56",84387969.14,71125856.43,80098.54,"MS"
8,"Aparecida do Taboado",165099,119,2786,1456,527,55,2393,2483905,12575,NA,5001003,2751.485,27674,10.06,"97.5","0.697","7.75",194964889.64,194508042.8,52822.84,"MS"
9,"Aquidauana",1639414,1483,25307,3384,582,1043,23134,699476,49455,NA,5001102,17087.021,46803,2.74,"97.6","0.688","5.76",320045550.87,321018096,25007.82,"MS"
10,"Aral Moreira",24946,NA,1185,1569,384,79,3089,22347,9734,NA,5001243,1653.86,10748,6.5,"90.7","0.633","17.86",93309303.54,88120797.4,81659.48,"MS"
11,"Bandeirantes",180121,828,3297,79063,446,134,2105,39843,7056,NA,5001508,3357.926,7940,2.36,"97.6","0.681","20.62",84734333.25,75925184.71,104256.82,"MS"
12,"Bataguassu",177015,63,3511,25018,878,210,2651,16715,4692,NA,5001904,2392.476,23031,9.63,"97.9","0.71","12.05",152928886.97,136374414.2,44412.79,"MS"
13,"Batayporã",142707,1119,2633,640,141,104,2416,21551,3820,NA,5002001,1826.578,10712,5.86,"97","0.684","22.9",80725612.3,71361258.85,53061.87,"MS"
14,"Bela Vista",367504,655,7091,1882,404,301,11385,35806,9409,NA,5002100,4899.44,21613,4.41,"96","0.698","2.33",163206509.95,162307688.3,39325.43,"MS"
15,"Bodoquena",1735580,1912,31692,10831,2365,3112,47349,248050,73043,NA,5002159,2591.933,8567,3.31,"99.2","0.666","34.19",87109256.96,85424832.16,45112.32,"MS"
16,"Bonito",315432,56,5768,1748,406,216,8490,43501,10799,NA,5002209,5373.016,23659,4.4,"97.3","0.67","8.55",214557133.81,216780293.1,53761.59,"MS"
17,"Brasilândia",357130,24,4509,142676,20792,198,6150,13948,3472,NA,5002308,5803.542,11579,2,"98.7","0.701","7.14",136273839.7,121575923.3,72772.16,"MS"
18,"Caarapó",53667,30,2235,24397,6622,151,2436,807500,5558,NA,5002407,2115.73,30612,14.47,"91.5","0.692","8.26",236591496.04,223717569.9,67669.26,"MS"
19,"Camapuã",517192,137,6984,13407,470,262,6249,36316,8073,NA,5002605,6238.127,13583,2.18,"97.9","0.703","18.52",137149027.24,115100906,46584.73,"MS"
20,"Campo Grande",1704149,1149,36873,171485,22731,1755,33180,9621836,1997414,194243,5002704,8082.978,898100,111.11,"98","0.784","10.69",5484604047.75,5611305871,37916.06,"MS"
21,"Caracol",254018,295,3899,691,152,609,7094,18700,3225,NA,5002803,2943.206,5036,1.71,"97.9","0.647","15.15",66225835.26,52863744.89,28753.23,"MS"
22,"Cassilândia",796431,179,13174,7111,2258,434,15225,435572,233719,NA,5002902,3658.252,20988,5.74,"98.9","0.727","25",176326688.5,162342917.9,35488.52,"MS"
23,"Chapadão do Sul",106574,NA,2038,882,264,28,2877,18875,5543,NA,5002951,3252.327,30993,9.53,"98.3","0.754","3.87",301508632.99,275268272.6,91707.11,"MS"
24,"Corguinho",214525,19,2930,1679,257,70,3348,37231,11771,NA,5003108,2639.657,4783,1.81,"98.3","0.671","35.71",41835416.43,52336193.57,24410.15,"MS"
25,"Coronel Sapucaia",56879,NA,1383,986,194,79,2648,75602,6431,NA,5003157,1023.727,14289,13.96,"84","0.589","31.88",93819449.09,86662634.7,22914.88,"MS"
26,"Corumbá",2150382,5637,36071,4289,1162,1984,16654,58050,11041,NA,5003207,64432.45,96268,1.49,"94.7","0.7","16.84",888302606.31,822558735.4,34684.48,"MS"
