"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abadia dos Dourados",51876,54,1404,11844,255,48,19,107900,13100,NA,3100104,880.461,6272,7.12,98.3,0.689,"37.04",44202945.98,40697025.21,25174.26,"MG"
2,"Abaeté",100748,89,2338,3032,490,42,52,46670,17050,1160,3100203,1817.067,22675,12.48,99.8,0.698,"14.35",113929765.5,108110225.2,23266.1,"MG"
3,"Abre Campo",22764,40,649,44908,4687,138,34,23000,8000,NA,3100302,470.551,13927,29.6,97.4,0.654,"15.96",68370646.27,59685811.73,19553.86,"MG"
4,"Acaiaca",4431,NA,237,7190,64,23,NA,6840,1815,NA,3100401,101.886,3909,38.37,96,0.63,"-",29827818.55,27583150.37,16247.06,"MG"
5,"Açucena",41284,105,1408,1789,298,62,19,21500,7450,NA,3100500,815.422,8943,10.97,96.7,0.61,"-",43297064.77,44079763.29,17888.2,"MG"
6,"Água Boa",62741,405,2045,3744,617,136,107,50425,16850,NA,3100609,1320.344,12589,9.53,92.9,0.576,"6.99",61260422.88,58446633.86,14421.07,"MG"
7,"Água Comprida",7393,NA,272,90,14,70,189,77800,655,NA,3100708,492.167,2108,4.28,95.2,0.675,"-",41473621.63,32885423.19,115725.51,"MG"
8,"Aguanil",14704,NA,439,630,80,30,55,10600,2970,NA,3100807,232.091,4357,18.77,97.4,0.663,"-",36324373.19,32465532.36,20762.54,"MG"
9,"Águas Formosas",46394,15,2853,3834,594,66,452,41900,5600,NA,3100906,820.079,18448,22.5,96.6,0.645,"11.67",85627230.51,75320284.72,14913.12,"MG"
10,"Águas Vermelhas",8422,NA,515,1242,207,130,204,17875,5550,NA,3101003,1256.607,14037,11.17,93.3,0.601,"-",70885447.15,66493180.75,17329.28,"MG"
11,"Aimorés",438227,12,13190,15162,2591,2397,3419,271320,81225,NA,3101102,1348.913,25269,18.73,96.5,0.684,"14.97",128036194.15,126059822.4,25402.54,"MG"
12,"Aiuruoca",27375,390,2009,1431,242,12,134,14200,4350,NA,3101201,649.68,6233,9.59,99.3,0.668,"18.87",39947536.55,38870979.65,21608.49,"MG"
13,"Alagoa",7937,NA,250,377,63,72,48,2810,1025,NA,3101300,161.356,2749,17.04,99,0.649,"-",30584326.47,32670241.58,17958.99,"MG"
14,"Albertina",1785,NA,132,186,31,85,NA,1470,480,NA,3101409,58.01,2952,50.89,98.4,0.673,"-",35984799.93,34306410.86,51065.05,"MG"
15,"Além Paraíba",31353,NA,1247,595,88,161,126,8450,3425,NA,3101508,510.25,30717,60.2,97.6,0.726,"18.58",141184543.24,135226993,27422.83,"MG"
16,"Alfenas",218721,1140,6933,57632,6234,506,1392,1101225,208545,NA,3101607,850.446,78970,92.86,97.8,0.761,"13.02",495065667.81,486054738.9,43049.74,"MG"
17,"Alfredo Vasconcelos",6205,NA,193,307,35,12,6,490000,810,NA,3101631,130.815,6931,52.98,98,0.675,"16.67",44369849.99,46401366.68,21364.59,"MG"
18,"Almenara",561496,965,31218,25542,4541,2177,4705,256475,64445,630,3101706,2294.426,40364,17.59,97.8,0.642,"11.67",174767140.67,173429080.6,15924.96,"MG"
19,"Alpercata",15822,NA,720,260,43,4,103,5625,910,NA,3101805,166.972,6903,41.34,99.1,0.646,"11.9",50428693.3,43960440.84,12700.99,"MG"
20,"Alpinópolis",29085,460,884,2116,337,75,453,488000,11000,NA,3101904,460.685,18300,39.72,97,0.725,"33.02",87968768.01,83878828.94,26133.79,"MG"
21,"Alterosa",21818,8,664,2671,434,NA,100,421600,9380,NA,3102001,362.01,13915,38.44,97.7,0.668,"19.35",70724610.45,65074998.38,20357.31,"MG"
22,"Alto Caparaó",833,NA,50,160,27,77,74,2455,645,NA,3102050,103.69,5795,55.89,98.5,0.661,"-",36337487.68,35086844.16,16354.23,"MG"
23,"Alto Jequitibá",2251,NA,68,334,59,38,13,4700,1400,NA,3153509,152.272,8397,55.14,98,0.66,"-",41862427.43,37363204.24,15158.56,"MG"
24,"Alto Rio Doce",22001,297,722,2544,426,330,7,23200,7960,NA,3102100,518.053,10891,21.02,95.9,0.62,"10.31",55703632.44,50493714.54,16798.64,"MG"
25,"Alvarenga",14931,NA,536,245,41,26,30,15150,4940,NA,3102209,278.175,3975,14.29,96.9,0.592,"-",33184023.39,30537100.11,14445.67,"MG"
