"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abaetetuba",4500,600,420,14000,3300,650,250,107000,3800,NA,1500107,1610.654,158188,98.21,"97.7","0.628","20.39",539686175.28,525918634.9,12150.04,"PA"
2,"Abel Figueiredo",50800,9,1550,3010,900,87,374,6400,3270,NA,1500131,614.131,6136,9.99,"97.6","0.622","-",36930546.7,35237754.55,13998.91,"PA"
3,"Acará",18099,97,561,660,61,160,224,150000,21000,NA,1500206,4344.384,59023,13.59,"92.9","0.506","13.8",251351271.3,258650177.4,25714.69,"PA"
4,"Afuá",1482,3216,341,8921,1698,480,167,15728,2642,NA,1500305,8338.438,37765,4.53,"88.4","0.489","18.2",214275354.32,205481063.7,11130.94,"PA"
5,"Água Azul do Norte",694455,552,13093,11787,1207,854,3667,70441,9412,NA,1500347,7113.955,18080,2.54,"90.2","0.564","13.7",115214101.61,107951491,23136.75,"PA"
6,"Alenquer",263592,4280,9472,5566,1663,752,3305,101057,17691,NA,1500404,23645.452,69377,2.93,"95.6","0.564","15.15",182053357.5,181977840.3,12988.38,"PA"
7,"Almeirim",97509,83493,2579,11557,563,1445,2306,11465,3660,NA,1500503,72954.798,34280,0.47,"95.8","0.642","19.2",202173805.64,200206866.1,20220.01,"PA"
8,"Altamira",3584453,2793,80149,61110,7028,6707,36364,525170,112505,1070,1500602,159533.306,126279,0.79,"93.1","0.665","13.58",604073937.62,641586004.7,26595.8,"PA"
9,"Anajás",1050,2110,38,4080,1700,22,85,2700,750,NA,1500701,6913.64,28011,4.05,"90.6","0.484","10.17",154184770.86,152177093.6,8607.88,"PA"
10,"Ananindeua",20,1,22,1859,13,NA,NA,38000,33000,NA,1500800,190.581,478778,2512.2,"96.7","0.718","14.49",1490564531.6,1486578514,16542.68,"PA"
11,"Anapu",375625,350,9891,8151,995,608,4167,51100,7640,NA,1500859,11895.27,31850,2.68,"94.2","0.548","17.15",154248691.61,153697497.6,20061.15,"PA"
12,"Augusto Corrêa",4226,98,275,1180,85,495,285,26850,1980,NA,1500909,1099.619,44573,40.53,"93.6","0.52","18.62",207502977.81,197638851.3,7750.19,"PA"
13,"Aurora do Pará",90372,90,2200,2000,335,16,250,8500,3250,NA,1500958,1811.84,23774,13.12,"87.3","0.519","11.4",118241924.93,111922303.2,9584.87,"PA"
14,"Aveiro",65233,316,359,1755,529,185,692,23918,2986,NA,1501006,17074.053,18290,1.07,"96.1","0.541","28.74",78146643.09,77655671.75,9254.57,"PA"
