"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Água Branca",9190,NA,200,1100,160,4285,1801,12817,3983,NA,2500106,241.662,9335,38.63,97.6,0.572,"13.51",56905656.59,57859957.44,8870.96,"PB"
2,"Aguiar",7034,NA,250,800,280,1910,1000,9205,5083,NA,2500205,351.607,5003,14.23,98.9,0.597,"21.28",36726274.15,29832956.32,10689.52,"PB"
3,"Alagoa Grande",19450,NA,865,3600,770,2250,3050,65000,21000,NA,2500304,322.071,26062,80.92,97.4,0.582,"21.51",105519857.79,93522677.43,10573.42,"PB"
4,"Alagoa Nova",3550,20,350,2500,330,600,1550,150000,70000,NA,2500403,128.23,21013,163.87,97.9,0.576,"12.7",105240492.25,106488632.2,15961.14,"PB"
5,"Alagoinha",6642,NA,495,1600,205,550,705,28000,3885,500,2500502,111.361,13725,123.25,98.7,0.595,"15.79",66977185.8,66448379.68,9468.2,"PB"
6,"Alcantil",5430,NA,208,1350,185,2920,1250,9800,1950,NA,2500536,309.896,5578,18,95.7,0.578,"10.53",40979518.29,36112331.91,9968.7,"PB"
7,"Algodão de Jandaíra",1550,NA,95,350,90,4850,4650,12000,3600,NA,2500577,222.74,2953,13.26,98.5,0.548,"-",31040436.57,25626883.58,11062.36,"PB"
8,"Alhandra",2750,NA,120,400,35,110,190,290000,8550,NA,2500601,183.974,21730,118.11,96.3,0.582,"24.54",206696602.23,180690780.5,171143.98,"PB"
9,"Amparo",1987,NA,72,224,36,7119,3710,10915,3384,NA,2500734,122.094,2234,18.3,98.1,0.606,"41.67",26901649.01,23207569.88,13000.44,"PB"
10,"Aparecida",8390,NA,415,1582,450,1610,3010,7510,3200,NA,2500775,291.478,7960,27.31,96.2,0.578,"30",40696996.86,34828185.92,12405.76,"PB"
11,"Araçagi",16200,60,715,1300,185,835,1800,19000,5540,12450,2500809,232.177,16646,71.7,95,0.549,"24.84",79336523.25,71676731.67,11026.72,"PB"
12,"Arara",5000,NA,255,680,107,600,2405,12540,3850,NA,2500908,91.306,12212,133.75,97.3,0.548,"15.5",53831544.54,51220236.31,8250.02,"PB"
13,"Araruna",9180,NA,500,2000,235,1700,2157,15450,4510,NA,2501005,246.717,17189,69.67,97.5,0.567,"10.05",87669712.74,78490578.78,9912.59,"PB"
14,"Areia",11000,30,740,1700,500,560,2800,45000,29000,NA,2501104,269.13,22633,84.1,97.5,0.594,"25.45",99666190.98,92879464.57,11435.64,"PB"
15,"Areia de Baraúnas",1104,NA,83,334,51,4472,700,4141,1400,NA,2501153,114.078,2005,17.58,98.8,0.562,"-",26351822.32,22591603.01,12396.9,"PB"
16,"Areial",1000,NA,60,600,195,330,755,22000,7500,NA,2501203,35.81,7128,199.05,98.1,0.608,"-",36930328.42,37948436.87,8871.24,"PB"
17,"Aroeiras",9500,NA,510,3900,278,4100,3500,21500,9400,NA,2501302,376.118,18705,49.73,97.9,0.548,"7.72",92802761.51,89325117.13,8803.78,"PB"
18,"Assunção",1412,NA,200,1100,160,3124,2300,3736,1968,NA,2501351,132.139,4152,31.42,99,0.609,"29.41",35754082.21,33196644.6,11924.64,"PB"
19,"Baía da Traição",750,NA,90,250,22,185,150,5100,1225,NA,2501401,102.756,9224,89.77,98.7,0.581,"6.33",51579050.41,44698346.98,11727.05,"PB"
20,"Bananeiras",15257,NA,900,2450,280,1425,2207,62700,7239,1000,2501500,255.641,23134,90.49,94.6,0.568,"3.37",103576066.42,107088969,13143.47,"PB"
21,"Baraúna",1500,NA,60,440,115,160,830,4520,3500,NA,2501534,50.03,4762,95.18,97,0.558,"-",35204293.84,28781137.81,9891.45,"PB"
22,"Barra de Santa Rosa",6450,NA,420,1350,280,13200,23000,70000,26000,NA,2501609,781.187,12904,16.52,96.9,0.562,"53.1",71931645.78,75901379.78,9665.19,"PB"
23,"Barra de Santana",9000,NA,550,7100,600,4800,2800,26200,9100,550,2501575,375.177,8059,21.48,97.6,0.567,"31.25",45018080.67,40664020.42,10889.99,"PB"
24,"Barra de São Miguel",3345,NA,380,900,130,20000,17000,10800,3600,105,2501708,609.697,5906,9.69,97.4,0.572,"28.17",47519494.68,41320346.32,13915.49,"PB"
25,"Bayeux",550,NA,60,805,55,90,80,3000,900,NA,2501807,27.705,82742,2986.54,96.4,0.649,"12.67",288135992.9,337061132.9,14016.16,"PB"
26,"Belém",7000,NA,650,1500,130,420,1000,15000,4500,NA,2501906,99.609,16401,164.65,94.7,0.592,"16.76",78484406.04,71691714.26,12297.24,"PB"
27,"Belém do Brejo do Cruz",10572,NA,628,976,171,1703,9984,9424,4952,NA,2502003,601.549,6268,10.42,96.4,0.578,"28.57",42473190.48,47663862.19,10679.3,"PB"
28,"Bernardino Batista",1670,NA,170,1350,320,330,250,5200,2150,NA,2502052,57.453,3504,60.99,98.7,0.558,"-",40462464.06,38235839.49,11211.72,"PB"
29,"Boa Ventura",4294,NA,285,983,340,2200,1755,8522,5098,NA,2502102,168.664,5207,30.87,97.6,0.599,"13.89",32671337.87,27728633.79,9835.17,"PB"
30,"Boa Vista",5000,NA,340,1900,310,8500,8000,292000,46000,1200,2502151,468.933,6377,13.6,98.4,0.649,"22.73",55898399.98,45376078.43,28593.35,"PB"
31,"Bom Jesus",2542,NA,71,500,80,245,562,1800,780,NA,2502201,47.367,2286,48.26,99,0.597,"-",34897127.48,32690891.49,12384.4,"PB"
32,"Bom Sucesso",8574,NA,202,815,125,1717,1638,29797,5272,NA,2502300,186.059,4661,25.05,96.4,0.592,"30.3",39570334.72,30955660.77,11041.7,"PB"
33,"Bonito de Santa Fé",7392,NA,430,1546,457,2588,2452,13184,6443,NA,2502409,226.798,10252,45.2,96.3,0.574,"23.81",54924626.09,54265726.98,7962.14,"PB"
34,"Boqueirão",8000,NA,465,4100,550,9000,13950,60000,6600,280,2502508,373.077,17598,47.17,96,0.607,"28.04",81320390.72,75168164.42,14310.05,"PB"
35,"Borborema",199675,NA,12406,56546,8339,464714,319931,1010076,264127,935,2502706,26.107,4214,161.41,98.2,0.558,"15.38",27777309.35,24581711.7,13030.55,"PB"
36,"Brejo do Cruz",9290,NA,592,652,137,1383,5701,7407,1664,NA,2502805,401.315,13613,33.92,97.2,0.597,"-",86763470.13,84565095.18,10299.88,"PB"
37,"Brejo dos Santos",3740,NA,107,462,96,836,1105,7628,3698,NA,2502904,93.857,5742,61.18,96.7,0.619,"-",33357189.58,28791659.59,9926.14,"PB"
38,"Caaporã",1370,NA,221,280,35,124,300,3e+05,4500,NA,2503001,151.018,21193,140.33,98.1,0.602,"19.17",120798917.01,108141287,21157.09,"PB"
39,"Cabaceiras",3600,NA,305,1000,140,18500,14500,18100,15000,NA,2503100,469.171,5335,11.37,99.7,0.611,"17.24",45242686.84,41777975.6,20400.58,"PB"
40,"Cabedelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2503209,29.873,66519,2226.73,97.3,0.748,"12.82",597061826.09,510784510.2,45182.89,"PB"
