"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abatiá",13675,NA,496,412,145,27,265,569400,73250,NA,4100103,228.717,7241,31.66,96.5,0.687,"-",47733587.01,41659546.03,30140.55,"PR"
2,"Adrianópolis",14593,3933,272,343,41,74,255,16500,10000,NA,4100202,1349.311,6256,4.64,95.8,0.667,"14.29",53663341.32,48779622.82,63631.39,"PR"
3,"Agudos do Sul",1575,11,490,1650,183,65,1150,30000,12500,NA,4100301,192.261,10233,53.22,96.3,0.66,"-",56439846.05,48989315.67,22674.09,"PR"
4,"Almirante Tamandaré",520,13,2265,2140,348,1350,4860,38000,28000,600,4100400,194.228,119825,616.93,95.6,0.699,"11.47",422273302.05,363215435,15947.74,"PR"
5,"Altamira do Paraná",70249,10,1232,938,111,76,1394,314100,3800,NA,4100459,386.945,3590,9.28,97.5,0.667,"23.26",39337787.13,31516744.42,67332.6,"PR"
6,"Alto Paraíso",95021,10,1543,575,145,40,1910,35158,1200,NA,4128625,967.772,3055,3.16,99.4,0.678,"17.54",48650572.17,38802811.29,43223.91,"PR"
7,"Alto Paraná",40776,NA,730,600,60,110,710,2623000,1460,NA,4100608,407.719,13909,34.11,96,0.696,"6.06",88937859.66,78405848.81,29192.99,"PR"
8,"Alto Piquiri",7674,NA,350,1850,370,95,540,234530,2550,NA,4100707,447.666,9727,21.73,97.7,0.676,"8.33",64484961.27,55707732.46,42092.67,"PR"
9,"Altônia",62335,10,830,12275,1500,215,750,1459600,4400,NA,4100509,661.56,18742,28.33,99.7,0.721,"9.71",102531584,94730535.72,20747.69,"PR"
10,"Alvorada do Sul",5914,NA,162,468,36,35,241,426130,3700,NA,4100806,424.25,10326,24.34,97.4,0.708,"-",100435694.04,87951715.04,29176.4,"PR"
11,"Amaporã",36924,NA,785,1280,108,28,710,73451,5800,NA,4100905,384.735,4762,12.38,98.3,0.669,"37.04",48799577.83,38976608.85,18911.54,"PR"
12,"Ampére",31143,108,472,10336,2180,39,1465,3514400,96326,945,4101002,298.349,19620,65.76,99.3,0.709,"7.38",121709989.45,102310509.8,38549.37,"PR"
13,"Anahy",4458,NA,129,342,74,NA,209,792400,128600,160,4101051,102.895,2918,28.36,97.4,0.695,"-",35959309.48,30151826.53,41475.92,"PR"
14,"Andirá",1962,NA,61,1120,140,57,253,564400,2650,NA,4101101,235.944,19878,84.25,99.1,0.725,"19.7",143168119,128408460.4,41191.94,"PR"
15,"Ângulo",8017,NA,122,409,61,5,143,1411930,3100,NA,4101150,106.021,3235,30.51,100,0.721,"-",48203982.04,36630284.54,52613.12,"PR"
