"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abreu e Lima",800,NA,252,2004,605,308,1103,80150,33000,6600,2600054,126.384,98462,779.07,97.2,0.679,"10.51","267763170.66","275896879.9",17123.06,"PE"
2,"Afogados da Ingazeira",14500,4,292,6300,950,12000,16500,55500,6500,1500,2600104,377.696,40241,106.54,97.3,0.657,"12.99","164164192.79","183129161.5",14430.74,"PE"
3,"Afrânio",23000,NA,2800,9000,4600,120000,269000,35000,25000,NA,2600203,1490.594,18674,12.53,98.7,0.588,"12.66","95963172.34","86290079.96",10500.7,"PE"
4,"Agrestina",19678,38,718,1738,174,439,2045,248465,143604,NA,2600302,200.369,23779,118.68,96.4,0.592,"5.46","118865783.55","109398597.2",13980.13,"PE"
5,"Água Preta",37021,717,894,321,4,234,984,3207,133,NA,2600401,531.935,26461,49.74,94,0.553,"17.19","117545957.71","118530385.4",6950.9,"PE"
6,"Águas Belas",55588,NA,855,1081,124,7374,21051,153964,43988,100,2600500,885.988,41548,46.89,96.1,0.526,"14.27","162358716.51","168013311.6",9132.13,"PE"
7,"Alagoinha",14425,32,304,18776,3675,2678,1460,72980,18200,NA,2600609,214.267,13542,63.2,96.3,0.599,"10.87","71644680.42","69771817.48",9794.9,"PE"
8,"Aliança",4863,NA,369,2030,471,620,757,310461,72300,NA,2600708,272.773,35741,131.03,97,0.604,"12.9","143528052.08","158905005",10761.16,"PE"
9,"Altinho",28285,560,594,6741,674,2382,7192,192192,5998,NA,2600807,450.178,20674,45.92,96.9,0.598,"19.32","80178994.99","82169949.09",9679.46,"PE"
10,"Amaraji",10096,30,600,536,25,100,795,3000,1000,NA,2600906,233.239,18205,78.05,96.6,0.58,"10.83","85805594.05","96413868.79",12850.59,"PE"
11,"Angelim",10622,NA,634,2736,263,322,1404,512521,271760,NA,2601003,118.088,10241,86.72,96.4,0.572,"7.94","57643358.93","56553981.93",12588.25,"PE"
12,"Araçoiaba",177,NA,43,24,8,25,125,544,383,NA,2601052,96.36,19243,199.7,97,0.592,"42.55","94053246.48","89398875.3",7732.35,"PE"
13,"Araripina",251796,15,10989,76025,16487,230576,419732,562388,135096,260,2601102,2037.394,85088,41.76,95.2,0.602,"11.02","327535972.07","303646905.4",14912.98,"PE"
14,"Arcoverde",15690,NA,1460,11160,2890,18990,20841,66800,16200,NA,2601201,343.923,77742,226.04,97.3,0.667,"10.73","270843964.91","269469223.8",16141.61,"PE"
15,"Barra de Guabiraba",7300,NA,650,700,80,100,700,90000,NA,NA,2601300,118.639,12263,103.36,93.7,0.577,"6.58","66903026.02","65654574",10042.58,"PE"
16,"Barreiros",13435,471,458,359,24,289,1202,5657,1899,NA,2601409,233.433,40121,171.87,94.6,0.586,"23.26","170525898.1","172360660.5",11757.3,"PE"
17,"Belém de Maria",6213,287,174,515,39,137,221,15130,657,NA,2601508,73.145,10378,141.88,98.5,0.578,"-","61193170.63","50415549.58",8176.47,"PE"
