"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Acauã",6113,NA,347,3346,613,21544,52219,21258,8913,NA,2200053,1280.838,6420,5.01,97.5,0.528,"10.64",33330246.57,31401257.65,10332.99,"PI"
2,"Agricolândia",1572,NA,33,721,144,698,438,9305,2316,NA,2200103,112.392,4940,43.95,97.5,0.599,"33.33",30357957.49,28523949.21,9229.59,"PI"
3,"Água Branca",2833,NA,47,957,203,143,146,26957,8342,NA,2200202,96.843,17573,181.46,98.6,0.639,"15.21",90822942.89,87153209.11,13921.29,"PI"
4,"Alagoinha do Piauí",5421,NA,316,3219,802,5533,14055,28119,7030,NA,2200251,535.89,6819,12.72,93.6,0.531,"12.05",28547125.9,28219015.51,8523.28,"PI"
5,"Alegrete do Piauí",3513,NA,84,659,131,1833,8165,6421,1602,NA,2200277,243.732,4634,19.01,96.7,0.585,"-",27751140.33,27083456.25,9791.41,"PI"
6,"Alto Longá",14045,NA,624,17301,2596,36795,20363,55919,17515,NA,2200301,1743.331,13479,7.73,97.9,0.585,"8.77",57275729.79,52669237.72,9112.43,"PI"
7,"Altos",7252,NA,483,16208,2917,12743,9400,1066282,21731,NA,2200400,957.232,47453,49.57,97.6,0.614,"12.54",198875498.83,199365076.7,13219.3,"PI"
8,"Alvorada do Gurguéia",7007,NA,112,410,66,273,1147,6248,2157,NA,2200459,2131.506,5322,2.5,97.4,0.578,"22.99",33952702.53,31259478.06,15016.43,"PI"
9,"Amarante",9200,NA,362,10762,1678,7454,5322,49918,7491,NA,2200509,1152.127,17234,14.96,97.2,0.598,"31.11",89347165.76,81287405.64,10937.14,"PI"
10,"Angical do Piauí",5333,NA,58,910,117,1347,909,120582,8058,NA,2200608,222.008,6827,30.75,96.9,0.63,"11.9",37491158.4,35191521.87,9846.26,"PI"
11,"Anísio de Abreu",2234,NA,521,2187,306,4681,11107,19362,6724,NA,2200707,337.877,9407,27.84,98.3,0.594,"18.18",39003979.99,37037157.01,9900.44,"PI"
12,"Antônio Almeida",3568,NA,78,458,50,314,682,6221,1889,NA,2200806,644.8,3152,4.89,99.6,0.62,"-",36082634.25,34112686.29,45295.91,"PI"
