"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Angra dos Reis",6580,NA,140,NA,NA,NA,220,1000,1000,NA,3300100,813.42,167434,205.84,96.4,0.724,"14.05",2642047486.15,2105059175,53262.55,"RJ"
2,"Aperibé",8090,10,400,400,60,150,200,2200,2000,NA,3300159,94.542,11034,116.71,96.7,0.692,"-",105849117.44,107688028.7,20698.33,"RJ"
3,"Araruama",29870,240,4860,781,280,238,2160,35600,24930,350,3300209,638.276,129671,203.16,98.3,0.718,"12",1023913542.98,1110651415,31109.37,"RJ"
4,"Areal",4114,NA,590,58,NA,42,70,7400,6800,NA,3300225,110.724,11828,106.82,98,0.684,"13.42",154233467.49,149695956.2,33490.89,"RJ"
5,"Armação dos Búzios",1710,NA,1090,180,28,95,315,5160,3720,1100,3300233,70.977,40006,563.65,97.6,0.728,"6.18",564286088.41,695630675.4,84721.42,"RJ"
6,"Arraial do Cabo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300258,152.106,30986,203.71,99.2,0.733,"17.95",674868698.99,594709659.8,87763.22,"RJ"
7,"Barra do Piraí",179208,520,3897,3306,326,161,342,1205649,4819,NA,3300308,584.61,92883,158.88,98.7,0.733,"11.38",357346815.02,437740598.6,26833.48,"RJ"
8,"Barra Mansa",43532,80,1400,1100,260,130,280,15800,11200,NA,3300407,547.133,169894,310.52,98.4,0.729,"14.3",907755732.54,882140962.5,34816.53,"RJ"
9,"Belford Roxo",477,NA,152,NA,NA,69,21,NA,NA,NA,3300456,78.985,483087,6116.19,96.2,0.684,"15.2",1149927003.01,1302720147,17156.71,"RJ"
10,"Bom Jardim",18630,NA,690,211,14,35,394,570000,5370,NA,3300506,382.43,28102,73.48,97.4,0.66,"3.32",165896135.34,169930325.6,31941.54,"RJ"
11,"Bom Jesus do Itabapoana",84875,20,1690,1300,49,135,400,28500,26400,NA,3300605,596.659,35173,58.95,98.1,0.732,"11.98",239620161.13,228039748.1,24343.72,"RJ"
12,"Cabo Frio",24390,NA,2435,318,35,210,1150,32630,27800,1900,3300704,413.449,222161,537.34,96.9,0.735,"10.47",1511318949.52,1491209025,52801.54,"RJ"
13,"Cachoeiras de Macacu",36243,37,2917,520,115,131,2800,13500,12180,NA,3300803,954.749,56943,59.64,98.4,0.7,"11.48",438779551.78,471608192,21885.51,"RJ"
14,"Cambuci",72852,33,2330,721,62,240,468,7200,6900,NA,3300902,558.281,14616,26.18,98.8,0.691,"14.29",123807481.98,107380308.3,25807.81,"RJ"
15,"Campos dos Goytacazes",548032,3182,18249,7446,863,514,7688,31205,28742,NA,3301009,4032.487,483540,119.91,97.3,0.716,"19.02",2984807494.62,3329065053,72243.98,"RJ"
16,"Cantagalo",78340,185,770,433,55,29,455,NA,NA,NA,3301108,747.21,19390,25.95,95.4,0.709,"5.75",167688796.46,164059565.3,41730.95,"RJ"
17,"Carapebus",26500,55,857,510,75,205,750,18800,16000,NA,3300936,304.885,13847,45.42,98.7,0.713,"15.38",209475363.57,168216181.1,43108.68,"RJ"
18,"Cardoso Moreira",56483,NA,1297,230,38,26,978,2013,1565,NA,3301157,522.596,12958,24.8,98.6,0.648,"14.71",86234114.48,130644694.8,30853.68,"RJ"
19,"Carmo",34231,NA,443,390,231,48,25,5120,4079,NA,3301207,305.749,17198,56.25,98.6,0.696,"6.41",102677971.38,95446626.26,29286.22,"RJ"
20,"Casimiro de Abreu",26693,1688,1049,245,30,20,526,4700,4700,NA,3301306,462.918,46110,99.61,98.5,0.726,"10.58",575946749.7,552609443.4,51285.71,"RJ"
21,"Comendador Levy Gasparian",6907,124,225,48,NA,NA,100,400,400,NA,3300951,108.639,8741,80.46,99.4,0.685,"10.31",95126034.5,101374419,70311.39,"RJ"
22,"Conceição de Macabu",42770,NA,1147,300,45,30,NA,8200,8200,NA,3301405,338.26,21104,62.39,98.8,0.712,"16.39",141024484.36,164770436.9,18426.37,"RJ"
23,"Cordeiro",11120,12,221,210,25,NA,NA,2860,1925,NA,3301504,113.048,20783,183.84,97.6,0.729,"8.66",154181401.65,162280841.3,20592.99,"RJ"
24,"Duas Barras",23364,10,1208,234,64,23,135,137000,2600,95,3301603,379.619,10980,28.92,97.8,0.659,"42.25",97548268.39,79305277.6,21553.24,"RJ"
25,"Duque de Caxias",8600,NA,156,980,57,487,386,3360,1680,NA,3301702,467.319,808161,1729.36,96.1,0.711,"15.62",4432566332.3,4566621664,57170.07,"RJ"
26,"Engenheiro Paulo de Frontin",847,2,573,NA,NA,75,86,251652,442,NA,3301801,139.381,12242,87.83,98.5,0.722,"31.5",112646012.8,121172852.6,28769.59,"RJ"
27,"Guapimirim",25350,14,NA,472,95,362,232,15100,9700,NA,3301850,358.443,51696,144.22,97.6,0.698,"10.36",465794299.63,449068891.8,21920.68,"RJ"
28,"Iguaba Grande",2820,NA,450,90,30,NA,150,1700,1500,NA,3301876,50.977,27920,547.7,98.1,0.761,"12.12",376682339.57,395938267.4,21517.5,"RJ"
29,"Itaboraí",28011,9,946,55,12,248,66,2000,1840,NA,3301900,429.961,224267,521.6,97.1,0.693,"9.44",1026461543.3,1084529334,23078.43,"RJ"
30,"Itaguaí",29949,60,1390,1550,72,174,500,6300,5200,NA,3302007,282.606,116841,413.44,97.6,0.715,"10.42",996892945.01,1028448671,76916.73,"RJ"
31,"Italva",28350,NA,2555,4570,895,499,670,26700,25600,NA,3302056,291.193,14073,48.33,98.6,0.688,"-",132105213.67,122981095.5,27215.6,"RJ"
32,"Itaocara",43808,45,1119,5867,973,106,140,8798,4709,NA,3302106,433.182,22919,52.91,99.6,0.713,"12.55",143001885.7,144725384.1,27396.34,"RJ"
33,"Itaperuna",377069,50,10982,7891,1391,2072,4588,138524,86090,NA,3302205,1106.694,101041,91.3,96.1,0.73,"12.59",514852700.69,485113643.5,32533.22,"RJ"
34,"Itatiaia",4439,NA,156,60,19,15,15,NA,NA,NA,3302254,241.035,30908,128.23,98.2,0.737,"21",386526955.08,363288823,213339.67,"RJ"
35,"Japeri",3286,6,NA,120,15,47,110,250,250,NA,3302270,81.697,96289,1178.61,96.6,0.659,"17.56",366761094.69,414412689.3,14395.69,"RJ"
36,"Laje do Muriaé",25800,NA,550,NA,NA,75,250,9200,2950,NA,3302304,253.53,7336,28.94,98,0.668,"-",88479925.84,80674335.1,25235.04,"RJ"
37,"Macaé",221171,434,6849,1910,320,359,2975,40000,30940,100,3302403,1216.989,246391,202.46,96.9,0.764,"14.66",3949268272.25,2802072767,66684.01,"RJ"
38,"Macuco",10986,65,115,122,17,10,27,1730,1072,NA,3302452,78.364,5415,69.1,97.7,0.703,"10.31",81968414.08,75154115.89,38057.84,"RJ"
39,"Magé",6658,184,1279,1000,34,32,167,37700,12370,NA,3302502,390.775,228127,583.78,97.7,0.709,"15.46",912134753.16,1186191050,19237.2,"RJ"
40,"Mangaratiba",4934,NA,NA,NA,NA,NA,NA,2100,2100,NA,3302601,367.606,41220,112.13,96.7,0.753,"14.86",585167526.78,599477797.4,69913.59,"RJ"
41,"Maricá",6993,180,616,NA,NA,71,362,1550,1550,NA,3302700,361.572,197277,545.61,96.4,0.765,"9.85",6351689731.97,6073477909,511810.82,"RJ"
42,"Mendes",1180,NA,186,NA,NA,24,61,518,315,NA,3302809,95.324,17502,183.61,99.3,0.736,"13.79",146168376.14,146390848.3,19147.47,"RJ"
43,"Mesquita",15,NA,4,NA,NA,NA,NA,NA,NA,NA,3302858,41.169,167127,4059.54,97.9,0.737,"13.05",605572509,568570126.4,14796.57,"RJ"
44,"Miguel Pereira",10930,95,752,NA,NA,107,139,1118,658,50000,3302908,287.933,26582,92.32,98.6,0.745,"8.2",300543321.93,326025662.6,24686.21,"RJ"
45,"Miracema",32160,13,909,664,53,132,215,20760,4682,NA,3303005,303.27,26881,88.64,97.5,0.713,"2.84",180104706.46,188971597.3,24404.52,"RJ"
46,"Natividade",49469,NA,1200,180,9,8,60,6300,2500,NA,3303104,387.073,15074,38.94,98.6,0.73,"6.13",95854782.07,144694963.9,21186.94,"RJ"
47,"Nilópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3303203,19.393,146774,7568.4,96.7,0.753,"24.43",391689711.41,507392863.4,18782.18,"RJ"
48,"Niterói",372,NA,260,NA,NA,124,NA,1200,1012,NA,3303302,133.757,481749,3601.67,97,0.837,"11.4",6015119139.84,5303439600,128333.01,"RJ"
