"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Aceguá",105509,639,6945,554,105,64,26748,6000,3249,NA,4300034,1551.339,4170,2.69,"93.9","0.687","-",57543013.61,51950521.35,91994.39,"RS"
2,"Água Santa",9787,NA,164,785,106,9,954,1292392,4300,NA,4300059,291.503,3912,13.42,"98.5","0.75","-",48003459.76,38818228.7,146445.07,"RS"
3,"Agudo",15622,NA,114,5760,750,62,820,70000,40600,95,4300109,534.624,16041,30,"96.5","0.694","27.03",106678562.78,100404279.4,40863.53,"RS"
4,"Ajuricaba",12570,9,179,5380,580,38,770,18000,11200,1500,4300208,322.674,6720,20.83,"98.5","0.753","17.24",53776613.08,50769209.93,74961.71,"RS"
5,"Alecrim",29383,3,615,21108,618,35,753,52306,30513,286,4300307,316.394,6123,19.35,"97.1","0.672","-",36298981.2,37054319.71,28383.93,"RS"
6,"Alegrete",572865,2863,20854,781,261,397,219921,40010,27005,NA,4300406,7800.428,72409,9.28,"98.9","0.74","12.08",337040274.7,337982305.5,42485.08,"RS"
7,"Alegria",8386,NA,51,13250,108,6,231,23461,15685,392,4300455,172.794,3651,21.13,"98.9","0.695","-",37963066.51,32676240.31,47648.88,"RS"
8,"Almirante Tamandaré do Sul",5270,NA,112,1509,33,9,800,28500,9450,45,4300471,265.042,1969,7.43,"100","0.74","-",35073282.74,27827990.82,142847.94,"RS"
9,"Alpestre",26680,41,200,22184,607,47,620,450700,16293,80,4300505,325.979,7117,21.83,"98.1","0.671","16.95",83749721.15,66585458,33369.8,"RS"
10,"Alto Alegre",4656,NA,48,5607,62,55,536,5200,2150,60,4300554,115.335,1800,15.61,"98.1","0.747","-",32611029.17,30510909.2,66755.15,"RS"
11,"Alto Feliz",2448,NA,22,3006,81,2,146,1237493,745500,91349,4300570,78.175,3072,39.3,"98.1","0.734","-",41964979.28,39055464.55,53088.35,"RS"
12,"Alvorada",1592,NA,409,114,25,2,210,765,60,NA,4300604,71.7,187315,2612.48,"95.3","0.699","15.21",739599914.39,584866277.5,15550.82,"RS"
13,"Amaral Ferrador",19853,72,711,3450,627,264,1982,30500,6177,24,4300638,505.983,5310,10.49,"98.3","0.624","-",34795858.9,30149100.36,20688.31,"RS"
14,"Ametista do Sul",4914,NA,69,15832,168,25,264,193145,7040,55,4300646,93.704,7650,81.64,"100","0.682","-",54179815.36,42360620.15,24036.02,"RS"
15,"André da Rocha",9768,18,359,10617,3450,12,2881,32229,1243,NA,4300661,331.208,1135,3.43,"100","0.72","-",27508051.52,24572244.7,142922.95,"RS"
