"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Acari",14588,NA,650,2900,960,3600,12500,450000,3e+05,NA,2400109,608.466,10597,17.42,97.6,0.679,"-",78138809.83,48577521.27,12785.32,"RN"
2,"Açu",14900,NA,2310,8480,1770,27000,27000,49000,14291,NA,2400208,1303.442,56496,43.34,97.6,0.661,"10.03",267023956.5,252836794.3,24982.91,"RN"
3,"Afonso Bezerra",8000,NA,1260,2900,1190,12200,18900,22150,6900,NA,2400307,576.179,10839,18.81,98.8,0.585,"17.09",60614798.9,55715861.6,12542.16,"RN"
4,"Água Nova",1466,NA,200,600,120,860,330,3370,1200,NA,2400406,50.684,2946,58.12,99.2,0.616,"-",26929326.24,24941677.12,10492.84,"RN"
5,"Alexandria",18000,NA,594,12000,6000,4150,8745,26000,14300,NA,2400505,381.205,13640,35.78,97.5,0.606,"7.3",87307786.07,78528962.46,11145.72,"RN"
6,"Almino Afonso",3050,19,150,360,45,1150,1500,7000,2500,NA,2400604,128.038,4687,36.61,95.5,0.624,"22.22",41541538.66,35531568.4,10685.63,"RN"
7,"Alto do Rodrigues",3946,NA,383,1480,382,895,3100,5337,1597,NA,2400703,191.334,12484,65.25,97.3,0.672,"19.11",131805234.63,139291538,41300.47,"RN"
8,"Angicos",48929,NA,6085,16417,4492,87288,78915,76035,31204,NA,2400802,741.582,11632,15.69,96.5,0.624,"7.69",57399892.99,57052144.24,15405.34,"RN"
9,"Antônio Martins",5000,NA,264,1820,305,1430,1450,12000,10000,NA,2400901,244.897,6577,26.86,98,0.578,"-",31319225.28,29036431.93,9149.14,"RN"
10,"Apodi",21000,NA,1430,14000,4000,50000,50000,194340,136000,NA,2401008,1602.477,36093,22.52,97.2,0.639,"21.22",139562530.38,130487470.8,19763.55,"RN"
