"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Alta Floresta D'Oeste",567114,126,6076,7088,1001,293,3563,56572,33620,33,1100015,7067.127,21494,3.04,95.7,0.641,"5.43",34488924.21,39038205.02,32619.88,"RO"
2,"Alto Alegre dos Parecis",268153,22,3023,4869,767,214,1650,41235,24697,22,1100379,3958.273,11479,2.9,95.9,0.592,"6.67",80920756.95,71047104.58,36454.01,"RO"
3,"Alto Paraíso",416218,18,3155,1796,255,134,1524,83597,54989,221,1100403,2651.822,16320,6.15,95.7,0.625,"24.51",94133259.07,89113437.23,22929.34,"RO"
4,"Alvorada D'Oeste",1172592,342,13628,20793,2887,464,9485,152592,92139,138,1100346,3029.189,13117,4.33,97.6,0.643,"5.46",82737296.29,69270980.24,25539.82,"RO"
5,"Ariquemes",2659543,783,21635,26246,2737,1535,13475,335458,205801,1050,1100023,4426.571,96833,21.88,97.2,0.702,"21.26",539844222.53,488450608.4,28878.27,"RO"
6,"Buritis",654486,307,6659,6100,1056,449,1664,39592,23605,270,1100452,3265.809,27992,8.57,94.9,0.616,"13.54",165406323.81,142698807.9,23549.74,"RO"
7,"Cabixi",121036,33,1604,3486,330,149,1672,42437,25462,20,1100031,1314.352,5351,4.07,98.1,0.65,"-",48454961.46,40343087.11,47051.83,"RO"
8,"Cacaulândia",334313,126,1113,1525,109,156,1073,15890,9534,62,1100601,1961.778,4150,2.12,95.5,0.646,"15.63",52768490.79,40286103.26,43655.88,"RO"
9,"Cacoal",2725108,602,31251,41491,5886,1169,18430,3219184,524027,1793,1100049,3793,86887,22.91,97.6,0.718,"9.61",400470224.6,390313644.7,32313.26,"RO"
10,"Campo Novo de Rondônia",528831,58,2806,3811,486,264,2588,62070,37238,110,1100700,3442.005,8844,2.57,90.6,0.593,"36.5",87957661.51,74757210.18,25667.21,"RO"
11,"Candeias do Jamari",391425,118,3921,3960,805,298,2746,46272,27740,2050,1100809,6843.868,22310,3.26,95.7,0.649,"11.98",110649703.1,111213950.6,23357.78,"RO"
12,"Castanheiras",120944,41,1327,1581,225,NA,863,14103,8350,16,1100908,892.841,3233,3.62,97.9,0.658,"-",39136518.26,35683077.5,34083.75,"RO"
13,"Cerejeiras",94526,27,1226,3295,558,NA,1528,36621,21973,458,1100056,2783.3,15890,5.71,98.5,0.692,"3.68",119336366.65,97280359.62,46185.81,"RO"
14,"Chupinguaia",393635,13,4791,2906,421,88,2051,48001,28788,40,1100924,5126.723,9324,1.82,97,0.652,"12.35",94267265.67,89779650.22,39880.28,"RO"
15,"Colorado do Oeste",979206,665,12321,18895,2724,421,9730,190986,113568,618,1100064,1451.06,15663,10.79,97.6,0.685,"19.51",103636927.25,98406145.24,27923.92,"RO"
16,"Corumbiara",348259,68,4251,5562,806,117,2242,32605,19540,70,1100072,3060.321,7519,2.46,97.1,0.613,"29.13",76541292.6,74822724.5,56257.46,"RO"
17,"Costa Marques",329150,42,3418,4089,753,213,6252,18172,10823,22,1100080,4987.177,12627,2.53,97.6,0.611,"13.76",81601676.21,67749761.31,16446.15,"RO"
18,"Cujubim",298121,80,3191,4275,537,161,1447,53068,31836,80,1100940,3863.946,14863,3.85,94.4,0.612,"14.42",120743954.14,106712002.9,17967.64,"RO"
19,"Espigão D'Oeste",449318,87,5304,6108,853,162,3510,919781,34567,380,1100098,4518.038,29414,6.51,95.9,0.672,"10.82",146477583.28,139994168.6,23429.38,"RO"
20,"Governador Jorge Teixeira",358344,112,3960,2506,132,224,1214,32705,19613,20,1101005,5067.384,8001,1.58,93.6,0.596,"23.26",61750050.49,56961574.62,33566.66,"RO"
21,"Guajará-Mirim",1029839,94,10860,9760,1733,316,11779,127535,75318,207,1100106,24856.877,39387,1.58,93.1,0.657,"16.04",180392533.24,162810568.9,22462.79,"RO"
22,"Itapuã do Oeste",103825,19,1037,779,122,40,1312,35119,20591,22,1101104,4081.58,8548,2.09,96.3,0.614,"9.35",77063030.53,63844035.23,19413.13,"RO"
23,"Jaru",627467,303,7881,4526,485,614,2806,249714,149768,140,1100114,2944.128,50591,17.18,97.8,0.689,"13.48",271817817.2,223657207.2,34294.21,"RO"
24,"Ji-Paraná",3434589,2061,47042,37261,4426,1723,18336,686546,419395,1693,1100122,6896.649,124333,18.03,96.6,0.714,"10.45",571278191.28,544175882,32292.16,"RO"
25,"Machadinho D'Oeste",546726,82,5845,10009,728,406,3027,105103,63062,30,1100130,8509.27,30707,3.61,93.2,0.596,"24.1",180971837.45,186811878.5,21338.33,"RO"
26,"Ministro Andreazza",161374,3,1754,2008,273,45,358,188230,61024,12,1101203,798.083,6466,8.1,95.5,0.638,"-",50778063.54,43182955.09,31484.85,"RO"
27,"Mirante da Serra",147927,174,2008,3809,514,212,712,39586,23751,18,1101302,1191.875,9235,7.75,98,0.643,"30.77",64423021.18,57161097.63,24566.5,"RO"
