"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Alto Alegre",106411,30,1670,12300,1150,580,2480,31400,15700,NA,1400050,25454.297,21096,0.83,56,0.542,55.48,111846968.01,73160722.57,25280.78,"RR"
2,"Amajari",131021,60,3520,7670,650,2840,4960,33500,15200,NA,1400027,28473.45,13927,0.49,64.3,0.484,44.08,54216985.06,54235772.36,17758.73,"RR"
3,"Boa Vista",281144,90,16068,35120,2774,5378,12249,652400,587700,14200,1400100,5687.037,413486,72.71,96.6,0.752,13.9,2451931489.81,2000965222,30906.19,"RR"
4,"Bonfim",75445,17,2300,12200,900,1500,5000,35000,28500,NA,1400159,8079.914,13923,1.72,91.9,0.626,11.63,139925364.46,133864598.4,41131.03,"RR"
5,"Cantá",105234,8,1812,12000,1000,1750,2830,45850,23260,NA,1400175,7664.831,18682,2.44,96.2,0.619,15.27,97704969.61,106190432.6,18334.7,"RR"
6,"Caracaraí",380470,245,5200,16040,1350,2782,5350,129280,78220,NA,1400209,47379.903,20957,0.44,91.7,0.624,24.1,112744880.29,116062972.3,20026.4,"RR"
7,"Caroebe",93345,170,1130,2100,200,178,980,15000,7500,NA,1400233,12065.896,10656,0.88,97.1,0.639,5.52,72091968.64,72330684.84,22349.01,"RR"
8,"Iracema",102210,62,2300,3200,320,630,1520,35000,18500,NA,1400282,14011.695,10023,0.72,76.7,0.582,6.94,122796132.17,102950337.8,16497.32,"RR"
9,"Mucajaí",199940,143,2140,6840,420,1622,2450,58280,30720,NA,1400308,12337.851,18095,1.47,92.6,0.665,24.77,126833752.73,126718902.9,21310.03,"RR"
10,"Normandia",18441,NA,3100,5265,250,2015,4084,20500,10000,NA,1400407,6959.868,13986,2.01,87.3,0.594,13.48,84789393.27,84387395.68,17232.37,"RR"
11,"Pacaraima",18572,NA,4300,2720,174,612,2378,12500,6800,NA,1400456,8025.045,19305,2.41,93,0.65,34.93,99967417.01,94740911.26,16366.22,"RR"
12,"Rorainópolis",126033,1346,2021,5896,270,1121,2234,52000,28500,NA,1400472,33579.739,32647,0.97,95.5,0.619,10.53,137553958.05,169318976.1,23333.09,"RR"
13,"São João da Baliza",32708,8,1122,1689,330,900,400,13790,9830,NA,1400506,4284.505,8858,2.07,93.6,0.655,17.24,74838929.86,67377771.74,38597.28,"RR"
14,"São Luiz",54556,247,1427,1472,145,821,1894,12460,5230,NA,1400605,1526.898,7315,4.79,92,0.649,32,118249430.5,91309762.67,21740.96,"RR"
15,"Uiramutã",14177,NA,3900,1000,90,500,1650,14500,5500,NA,1400704,8113.598,13751,1.69,60.2,0.453,25.29,70323587.25,61893388.88,13069.3,"RR"
