"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Amparo do São Francisco",2760,NA,240,335,68,60,245,1720,322,NA,2800100,35.683,2170,60.81,97.4,0.611,"-",28461504.91,26953271.4,15912.33,"SE"
2,"Aquidabã",27989,NA,2030,1770,328,138,3245,85510,9120,810,2800209,359.543,20131,55.99,98.6,0.578,"12.82",93794800.02,81916389.19,13207.67,"SE"
3,"Aracaju",18486,117,5532,8796,401,1720,7640,1221905,673420,NA,2800308,182.163,602757,3308.89,97.4,0.77,"16.81",3049480298.97,3310705182,27364.4,"SE"
4,"Arauá",19165,44,1197,2084,140,335,3410,16120,5070,NA,2800407,198.967,10318,51.86,98.3,0.595,"8",62034031.37,56094171.16,14240.03,"SE"
5,"Areia Branca",3123,NA,281,772,33,130,430,250000,145140,NA,2800506,148.134,18081,122.06,98,0.579,"31.25",98314475.71,91395566.57,13400.43,"SE"
6,"Barra dos Coqueiros",799,60,252,70,5,60,120,4600,2200,NA,2800605,92.268,41511,449.9,91.7,0.649,"19.86",257415794.39,234708506,82114.31,"SE"
7,"Boquim",155549,87,8061,21319,839,1804,27786,393326,72114,NA,2800670,205.443,24636,119.92,97.6,0.604,"7.52",92291668.63,89473479.99,12345.44,"SE"
8,"Brejo Grande",2890,NA,435,215,32,13,240,1825,479,NA,2800704,141.464,7841,55.43,98.5,0.54,"25.86",51412735.71,57540923.61,11420.45,"SE"
9,"Campo do Brito",16890,NA,726,3303,225,240,980,46200,16200,NA,2801009,201.518,18149,90.06,98.2,0.621,"13.95",76686863.32,74660194.39,12970.1,"SE"
10,"Canhoba",13118,NA,1120,496,78,70,1010,8110,975,NA,2801108,171.581,3791,22.09,98.1,0.569,"-",32735965.95,29827531.11,21093.28,"SE"
11,"Canindé de São Francisco",28100,NA,1280,3830,290,1500,8100,97860,15270,NA,2801207,934.167,26834,28.73,96.8,0.567,"17.65",238714608.72,207767095.7,93714.69,"SE"
