"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abreulândia",93525,NA,1296,1192,154,14,867,4444,2120,NA,1700251,1906.295,2576,1.35,95.7,0.665,"29.41",31931931.79,27128380.07,42979.98,"TO"
2,"Aguiarnópolis",18715,NA,353,621,58,NA,81,373678,3657,NA,1700301,236.792,4497,18.99,96.9,0.657,"-",38772658.72,34146021.53,23475.65,"TO"
3,"Aliança do Tocantins",100605,106,1331,1068,428,23,711,6804,3402,NA,1700350,1580.999,5147,3.26,96.2,0.663,"35.09",33324344.39,35222983.24,116268.4,"TO"
4,"Almas",83780,12,1646,1018,280,58,1062,10313,5800,NA,1700400,4007.152,6499,1.62,94.4,0.636,"-",46516334.97,41188640.69,39643.82,"TO"
5,"Alvorada",72737,NA,848,502,116,2,1209,3655,1828,NA,1700707,1207.201,8802,7.29,99,0.708,"16.67",55912639.07,66339104.3,56569.78,"TO"
6,"Ananás",110698,26,1737,621,50,45,861,8364,5372,NA,1701002,1581.058,10325,6.53,98.7,0.671,"-",51835611.33,51319819.26,16933.69,"TO"
7,"Angico",23466,NA,425,319,27,NA,106,230898,4632,NA,1701051,447.549,2876,6.43,99.5,0.648,"24.39",26919155.31,23261147.74,13892.42,"TO"
8,"Aparecida do Rio Negro",21906,NA,621,1785,362,184,841,11729,3920,NA,1701101,1159.034,4856,4.19,97.6,0.651,"-",36638938,34694259.05,52216.34,"TO"
9,"Aragominas",115268,64,1622,1367,478,69,925,14265,5135,NA,1701309,1168.213,5290,4.53,97.2,0.593,"14.49",27942945.08,27398232.53,17255.24,"TO"
10,"Araguacema",63592,25,1278,1540,154,18,595,10550,3692,NA,1701903,2774.505,5927,2.14,98.3,0.639,"28.17",47490091.52,42705502.52,33261.2,"TO"
11,"Araguaçu",487469,182,4469,2201,445,41,1245,13391,6700,NA,1702000,5155.223,8133,1.58,97,0.675,"-",48660771.2,44642541.48,41464.68,"TO"
12,"Araguaína",1993561,2004,26772,21736,8169,969,18172,818030,234882,NA,1702109,4004.646,171301,42.78,97.5,0.752,"9.46",975737691.55,912897428.5,28129.89,"TO"
13,"Araguanã",94337,156,1320,376,112,NA,700,5136,1541,NA,1702158,834.834,4310,5.16,96.9,0.604,"66.67",35004185.85,31307364.96,17393.75,"TO"
14,"Araguatins",205842,106,6745,4846,1275,229,2194,44091,19253,NA,1702208,2633.278,31918,12.12,95.5,0.631,"16.91",136215765.97,127751555.2,14472.16,"TO"
15,"Arapoema",180820,14,1520,950,475,83,516,6672,2443,NA,1702307,1558.138,5550,3.56,96.9,0.68,"-",40097545.17,37263849.57,49244.74,"TO"
16,"Arraias",281522,NA,4113,1567,780,102,720,16513,9230,NA,1702406,5803.085,10287,1.77,97.6,0.651,"9.52",53922790.63,47197474.59,21263.55,"TO"
17,"Augustinópolis",69253,63,2740,3209,682,283,1242,11214,5902,NA,1702554,388.81,17484,44.97,97.1,0.67,"6.83",76259047.06,66972001.4,16169.5,"TO"
18,"Aurora do Tocantins",54515,NA,1142,1298,1078,51,506,9167,4110,NA,1702703,696.194,3342,4.8,97.9,0.677,"-",24374650.1,22550609.7,15438.7,"TO"
19,"Axixá do Tocantins",40981,NA,1850,1232,308,49,418,7977,1994,NA,1702901,153.539,10262,66.84,99,0.627,"6.1",53734417.17,48057206.87,14372.21,"TO"
20,"Babaçulândia",93266,6,623,1676,402,61,1426,301960,149396,NA,1703008,1790.297,7880,4.4,96.9,0.642,"-",50112996.79,46026960.05,14880.15,"TO"
21,"Bandeirantes do Tocantins",164207,490,2280,964,278,40,369,10000,4278,NA,1703057,1540.541,3407,2.21,97.9,0.638,"40",44210293.88,42214661.1,49202.29,"TO"
22,"Barra do Ouro",33418,NA,590,842,185,61,246,7182,6464,NA,1703073,1105.84,4476,4.05,96.9,0.603,"14.71",31117421.38,28356044.44,24237.11,"TO"
23,"Barrolândia",79618,27,1230,1394,136,30,249,56957,3360,NA,1703107,697.759,4846,6.95,95.7,0.642,"16.39",33399224.09,29335240.19,21523.42,"TO"
24,"Bernardo Sayão",99589,33,1486,1365,500,13,608,12544,10544,NA,1703206,924.045,4229,4.58,96.8,0.638,"22.22",32714823.84,32847309.96,23132.25,"TO"
25,"Bom Jesus do Tocantins",37065,21,886,2065,700,181,1363,9383,4600,NA,1703305,1326.947,4038,3.04,97.5,0.66,"11.76",32377048.01,29919893.72,27228.47,"TO"
26,"Brasilândia do Tocantins",36980,232,598,392,290,22,194,4029,2200,NA,1703602,645.908,1974,3.06,98.7,0.684,"-",24145747.19,20465994.84,34054.21,"TO"
27,"Brejinho de Nazaré",58484,17,1213,1024,355,48,607,9732,3212,NA,1703701,1722.59,4725,2.74,97.7,0.686,"-",38901218.37,38628548.29,49268.03,"TO"
28,"Buriti do Tocantins",36456,NA,720,670,152,68,207,3152,1125,NA,1703800,252.73,10307,40.78,95.8,0.627,"8.33",51482967.68,47009506.85,13881.93,"TO"
29,"Cachoeirinha",9336,NA,175,139,13,NA,NA,134875,3938,NA,1703826,351.535,1961,5.58,98.7,0.627,"-",25601015.36,22074972.62,25532.91,"TO"
30,"Campos Lindos",54472,255,591,1072,139,91,487,14379,5033,NA,1703842,3234.445,8653,2.68,92.8,0.544,"18.75",69534296.98,59065038.31,95662.12,"TO"
31,"Cariri do Tocantins",86274,13,1236,1649,327,6,498,9788,4894,NA,1703867,1126.291,4007,3.56,99.3,0.662,"-",31046494.7,54417355.31,115073.33,"TO"
32,"Carmolândia",38697,18,480,282,74,6,539,2393,2298,NA,1703883,339.366,2201,6.49,98.8,0.64,"-",24337887.25,19398945.16,26350.39,"TO"
33,"Carrasco Bonito",24490,NA,550,465,172,71,247,2084,1736,NA,1703891,190.352,3318,17.43,97.9,0.594,"-",29511445.8,27341526.74,12139.52,"TO"
34,"Caseara",46052,12,1067,1496,179,NA,324,12524,3168,NA,1703909,1680.014,4847,2.89,98.7,0.658,"-",45018311.44,40483543.77,70637.03,"TO"
35,"Centenário",33833,NA,500,1072,420,178,289,7828,5600,NA,1704105,1953.134,2131,1.09,97.5,0.569,"66.67",18874400.5,18093744.82,21765.64,"TO"
36,"Chapada da Natividade",37206,NA,684,1698,880,20,298,11224,4870,NA,1705102,1640.833,3117,1.9,96.1,0.62,"-",23841631.49,23124297.28,44736.71,"TO"
37,"Chapada de Areia",47356,NA,684,887,112,NA,272,7361,3010,NA,1704600,658.564,1501,2.28,97.7,0.619,"-",21936312.5,19398485.99,28144.1,"TO"
38,"Colinas do Tocantins",145283,407,1807,1589,662,52,818,4006,2043,NA,1705508,842.488,34233,40.63,97.7,0.701,"11.74",208401408.34,183437168.5,23769.37,"TO"
39,"Colméia",112641,131,2000,4500,2500,3,794,25000,12000,NA,1716703,1161.03,8941,7.7,98.3,0.671,"-",37396649.49,33662965.86,22628.82,"TO"
40,"Combinado",34851,NA,1103,1510,435,34,261,9389,6000,NA,1705557,208.791,4756,22.78,98.6,0.697,"-",25728954.18,22063320.94,15713.45,"TO"
41,"Conceição do Tocantins",54767,NA,1566,474,175,NA,65,7880,3560,NA,1705607,2530.647,3887,1.54,97.9,0.592,"38.46",34140984.52,30310958.5,16665.58,"TO"
42,"Couto Magalhães",72510,33,1336,2445,1750,10,400,15740,9780,NA,1706001,1584.196,5331,3.37,96.3,0.605,"15.38",38792900.7,35970323.49,35759.76,"TO"
43,"Cristalândia",82344,41,1303,1049,105,81,543,12759,5640,NA,1706100,1850.75,6371,3.44,97.9,0.673,"27.4",41427632.58,37813556.67,24393.72,"TO"
44,"Crixás do Tocantins",53532,NA,633,602,212,2,213,4892,2446,NA,1706258,983.766,1470,1.49,100,0.644,"-",21738811.62,20935328.07,44965.53,"TO"
45,"Darcinópolis",32110,NA,681,878,79,NA,305,2224244,1778346,NA,1706506,1641.77,5827,3.55,93.5,0.581,"19.61",28708209.44,27786056.41,38709.07,"TO"
46,"Dianópolis",1481860,15,26435,21566,8715,1068,8244,217635,114535,NA,1707009,3318.094,17739,5.35,97.4,0.701,"24.05",120244114.89,94310147.06,28401.58,"TO"
47,"Divinópolis do Tocantins",145993,42,1938,2459,253,62,1265,23311,8113,NA,1707108,2358.282,7024,2.98,97.5,0.683,"11.49",47772487.04,42253911.47,35676.38,"TO"
48,"Dois Irmãos do Tocantins",218504,41,3306,4595,503,88,1089,38875,13160,NA,1707207,3747.645,6327,1.69,91.4,0.583,"24.39",83078887.57,57881523.39,30133.74,"TO"
49,"Dueré",207190,108,2668,4614,1287,99,1133,14441,7221,NA,1707306,3420.657,4248,1.24,96.8,0.679,"-",37484058.81,32540180.03,43697.08,"TO"
